#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_004631.1:4559137-4559598|+ -            154 1827295at2           -             74   8.8e-25   84.5   0.8   1   1   1.7e-26   4.1e-24   82.4   0.8     6    74    17   111    12   111 0.82 NC_004631.1_4400 # 4559137 # 4559598 # 1 # ID=1_4400;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.528
NC_004631.1:1917861-1919768|- -            636 1827295at2           -             74   0.00027   18.9   0.1   1   2    0.0049       1.2    7.2   0.0     9    31    30    52    19    56 0.79 NC_004631.1_1862 # 1917861 # 1919768 # -1 # ID=1_1862;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.530
NC_004631.1:1917861-1919768|- -            636 1827295at2           -             74   0.00027   18.9   0.1   2   2    0.0014      0.34    8.9   0.1     8    33   344   370   332   374 0.81 NC_004631.1_1862 # 1917861 # 1919768 # -1 # ID=1_1862;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.530
NC_004631.1:4733577-4734533|- -            319 1827295at2           -             74    0.0005   18.0   0.1   1   2   5.7e-06    0.0014   16.6   0.1    10    31     6    27     2    34 0.88 NC_004631.1_4575 # 4733577 # 4734533 # -1 # ID=1_4575;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.554
NC_004631.1:4733577-4734533|- -            319 1827295at2           -             74    0.0005   18.0   0.1   2   2       6.6   1.6e+03   -2.8   0.0    27    45   171   187   145   199 0.67 NC_004631.1_4575 # 4733577 # 4734533 # -1 # ID=1_4575;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.554
NC_004631.1:2668402-2671065|- -            888 1827295at2           -             74   0.00069   17.6   0.1   1   2    0.0027      0.65    8.0   0.0    12    32   236   257   223   263 0.83 NC_004631.1_2597 # 2668402 # 2671065 # -1 # ID=1_2597;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.590
NC_004631.1:2668402-2671065|- -            888 1827295at2           -             74   0.00069   17.6   0.1   2   2    0.0063       1.5    6.8   0.0     8    32   606   635   595   641 0.78 NC_004631.1_2597 # 2668402 # 2671065 # -1 # ID=1_2597;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.590
NC_004631.1:4172494-4173015|+ -            174 1827295at2           -             74   0.00074   17.5   0.0   1   1   6.4e-06    0.0016   16.4   0.0    10    33     6    29     1    33 0.88 NC_004631.1_4013 # 4172494 # 4173015 # 1 # ID=1_4013;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.504
NC_004631.1:2133584-2135320|+ -            579 1827295at2           -             74     0.001   17.0   0.6   1   2   0.00052      0.13   10.3   0.1    10    33    35    58    18    64 0.85 NC_004631.1_2076 # 2133584 # 2135320 # 1 # ID=1_2076;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.560
NC_004631.1:2133584-2135320|+ -            579 1827295at2           -             74     0.001   17.0   0.6   2   2     0.035       8.5    4.5   0.1     8    29   353   376   336   382 0.78 NC_004631.1_2076 # 2133584 # 2135320 # 1 # ID=1_2076;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.560
NC_004631.1:2693220-2695793|- -            858 1827295at2           -             74    0.0016   16.4   0.0   1   2    0.0057       1.4    7.0   0.0    12    36   203   228   189   230 0.82 NC_004631.1_2616 # 2693220 # 2695793 # -1 # ID=1_2616;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.535
