# BUSCO version is: 6.0.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	NZ_ABFH02000001.1	773344	769121	-	1843.7	1176	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	NZ_ABFH02000001.1	777449	773421	-	1274.7	801	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	NZ_ABFH02000001.1	2426207	2430094	+	261.7	415	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	NZ_ABFH02000001.1	2212927	2215557	+	589.0	529	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	NZ_ABFH02000002.1	1241954	1239933	-	770.8	490	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	NZ_ABFH02000001.1	915226	913403	-	563.9	439	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	NZ_ABFH02000001.1	2409777	2411576	+	735.2	491	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	NZ_ABFH02000001.1	1135707	1137107	+	331.4	277	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	NZ_ABFH02000002.1	281570	284167	+	516.2	426	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	NZ_ABFH02000002.1	94198	95970	+	608.8	473	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	NZ_ABFH02000001.1	533171	531873	-	326.0	280	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	NZ_ABFH02000001.1	2657276	2658793	+	273.7	284	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	NZ_ABFH02000002.1	1105153	1103861	-	416.2	313	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	NZ_ABFH02000001.1	1711108	1712610	+	177.9	211	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	NZ_ABFH02000002.1	576968	575694	-	336.2	282	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	NZ_ABFH02000001.1	1056099	1057481	+	578.8	360	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	NZ_ABFH02000001.1	1949705	1950868	+	180.7	220	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	NZ_ABFH02000002.1	685250	684267	-	432.4	294	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	NZ_ABFH02000001.1	2506810	2508387	+	309.2	233	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	NZ_ABFH02000001.1	316503	315121	-	212.6	233	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	NZ_ABFH02000001.1	2087255	2088553	+	365.0	285	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	NZ_ABFH02000001.1	1586642	1587631	+	263.4	226	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
