# BUSCO version is: 6.0.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	NC_011094.1	4237337	4241560	+	1843.7	1176	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	NC_011094.1	4233232	4237260	+	1274.7	801	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	NC_011094.1	2713247	2709360	-	260.3	391	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	NC_011094.1	2881195	2878565	-	589.1	529	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	NC_011094.1	920564	922585	+	770.8	490	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	NC_011094.1	4095721	4097544	+	563.9	439	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	NC_011094.1	2729677	2727878	-	735.2	491	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	NC_011094.1	3925352	3923952	-	331.4	277	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	NC_011094.1	1789768	1787171	-	516.2	444	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	NC_011094.1	1974763	1972991	-	608.9	473	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	NC_011094.1	4508378	4509676	+	326.0	280	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	NC_011094.1	2478951	2477434	-	273.7	284	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	NC_011094.1	1052302	1053594	+	414.9	312	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	NC_011094.1	3358231	3356729	-	177.9	211	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	NC_011094.1	1487403	1488677	+	337.4	283	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	NC_011094.1	3951504	3950122	-	578.8	360	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	NC_011094.1	3134290	3133127	-	180.7	220	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	NC_011094.1	1379646	1380629	+	432.4	294	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	NC_011094.1	2627467	2625890	-	306.3	233	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	NC_011094.1	4685918	4687300	+	212.6	233	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	NC_011094.1	3002936	3001638	-	365.0	285	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	NC_011094.1	3482204	3481215	-	263.4	226	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	NC_011094.1	286604	284886	-	824.2	533	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Complete	NC_011094.1	2270204	2272237	+	200.7	301	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	NC_011094.1	1073501	1074184	+	286.6	206	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	NC_011094.1	3953986	3952445	-	641.7	407	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	NC_011094.1	4224000	4225028	+	138.6	182	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	NC_011094.1	1968627	1967617	-	429.7	273	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
923547at2	Complete	NC_011094.1	2616038	2617195	+	465.1	315	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	NC_011094.1	4258452	4257163	-	684.2	418	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932993at2	Complete	NC_011094.1	509790	511088	+	92.8	233	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Complete	NC_011094.1	3492538	3491717	-	234.5	187	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Complete	NC_011094.1	2498333	2497248	-	328.7	267	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
984717at2	Complete	NC_011094.1	2725936	2725031	-	227.3	221	https://v10-1.orthodb.org/?query=984717at2	GTPase Era
1009041at2	Complete	NC_011094.1	155576	156727	+	260.1	220	https://v10-1.orthodb.org/?query=1009041at2	Cell division protein FtsZ
1024388at2	Complete	NC_011094.1	3151690	3152844	+	460.6	307	https://v10-1.orthodb.org/?query=1024388at2	S-adenosylmethionine synthetase
1036075at2	Complete	NC_011094.1	2016099	2014267	-	286.3	321	https://v10-1.orthodb.org/?query=1036075at2	GIY-YIG endonuclease
1043239at2	Complete	NC_011094.1	258695	259420	+	142.6	155	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
1049662at2	Complete	NC_011094.1	4260057	4258468	-	606.4	438	https://v10-1.orthodb.org/?query=1049662at2	Methylglyoxal synthase-like domain
1054741at2	Complete	NC_011094.1	1286391	1285285	-	455.3	329	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1069591at2	Complete	NC_011094.1	4502825	4503775	+	161.0	180	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Complete	NC_011094.1	2775867	2777528	+	302.9	383	https://v10-1.orthodb.org/?query=1074831at2	DNA repair protein RecN
1080436at2	Complete	NC_011094.1	2883109	2882048	-	393.5	263	https://v10-1.orthodb.org/?query=1080436at2	Protein RecA
1093223at2	Complete	NC_011094.1	147292	148608	+	320.9	357	https://v10-1.orthodb.org/?query=1093223at2	Mur ligase, C-terminal
1132353at2	Complete	NC_011094.1	3491057	3490356	-	213.6	161	https://v10-1.orthodb.org/?query=1132353at2	K Homology domain
1151822at2	Complete	NC_011094.1	146207	147289	+	281.9	250	https://v10-1.orthodb.org/?query=1151822at2	Phospho-N-acetylmuramoyl-pentapeptide-transferase
1166299at2	Complete	NC_011094.1	3353473	3352529	-	134.8	120	https://v10-1.orthodb.org/?query=1166299at2	tRNA pseudouridine synthase B
1211060at2	Complete	NC_011094.1	3482850	3482230	-	214.7	164	https://v10-1.orthodb.org/?query=1211060at2	RNA-binding S4 domain
1257362at2	Complete	NC_011094.1	3281352	3280339	-	251.4	235	https://v10-1.orthodb.org/?query=1257362at2	tRNA N6-adenosine threonylcarbamoyltransferase
1266295at2	Complete	NC_011094.1	4168080	4167313	-	317.4	249	https://v10-1.orthodb.org/?query=1266295at2	Triosephosphate isomerase
1270636at2	Complete	NC_011094.1	3494099	3493470	-	174.5	161	https://v10-1.orthodb.org/?query=1270636at2	Ribosomal protein L3
1272633at2	Complete	NC_011094.1	140299	141240	+	141.3	156	https://v10-1.orthodb.org/?query=1272633at2	S-adenosyl-L-methionine-dependent methyltransferase
1346419at2	Complete	NC_011094.1	3799604	3800827	+	331.4	298	https://v10-1.orthodb.org/?query=1346419at2	Flavoprotein
1395197at2	Complete	NC_011094.1	263415	264767	+	135.2	156	https://v10-1.orthodb.org/?query=1395197at2	Peptidase M50
1398618at2	Complete	NC_011094.1	3487315	3486782	-	142.9	130	https://v10-1.orthodb.org/?query=1398618at2	Ribosomal protein L6, alpha-beta domain
1419877at2	Complete	NC_011094.1	3771592	3770573	-	266.0	260	https://v10-1.orthodb.org/?query=1419877at2	glycerol-3-phosphate dehydrogenase
1456375at2	Complete	NC_011094.1	3488613	3488074	-	229.2	141	https://v10-1.orthodb.org/?query=1456375at2	Ribosomal protein L5
1470978at2	Complete	NC_011094.1	4231985	4232482	+	83.7	115	https://v10-1.orthodb.org/?query=1470978at2	Ribosomal protein L10
1490892at2	Complete	NC_011094.1	3156186	3156917	+	49.3	85	https://v10-1.orthodb.org/?query=1490892at2	16S rRNA (uracil(1498)-N(3))-methyltransferase
