All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    GCF_000170215.1_ASM17021v1_genomic
# contigs (>= 0 bp)         2                                 
# contigs (>= 1000 bp)      2                                 
# contigs (>= 5000 bp)      2                                 
# contigs (>= 10000 bp)     1                                 
# contigs (>= 25000 bp)     1                                 
# contigs (>= 50000 bp)     1                                 
Total length (>= 0 bp)      4726474                           
Total length (>= 1000 bp)   4726474                           
Total length (>= 5000 bp)   4726474                           
Total length (>= 10000 bp)  4719855                           
Total length (>= 25000 bp)  4719855                           
Total length (>= 50000 bp)  4719855                           
# contigs                   2                                 
Largest contig              4719855                           
Total length                4726474                           
GC (%)                      52.26                             
N50                         4719855                           
N90                         4719855                           
auN                         4713254.5                         
L50                         1                                 
L90                         1                                 
# N's per 100 kbp           0.00                              
