All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    GCF_000171255.1_ASM17125v1_genomic
# contigs (>= 0 bp)         19                                
# contigs (>= 1000 bp)      19                                
# contigs (>= 5000 bp)      16                                
# contigs (>= 10000 bp)     16                                
# contigs (>= 25000 bp)     13                                
# contigs (>= 50000 bp)     12                                
Total length (>= 0 bp)      4546142                           
Total length (>= 1000 bp)   4546142                           
Total length (>= 5000 bp)   4541399                           
Total length (>= 10000 bp)  4541399                           
Total length (>= 25000 bp)  4491950                           
Total length (>= 50000 bp)  4462248                           
# contigs                   19                                
Largest contig              846299                            
Total length                4546142                           
GC (%)                      52.24                             
N50                         471765                            
N90                         204763                            
auN                         472771.9                          
L50                         4                                 
L90                         10                                
# N's per 100 kbp           1.32                              
