Assembly	GCF_000171515.1_ASM17151v1_genomic
# contigs (>= 0 bp)	50
# contigs (>= 1000 bp)	46
# contigs (>= 5000 bp)	28
# contigs (>= 10000 bp)	25
# contigs (>= 25000 bp)	20
# contigs (>= 50000 bp)	17
Total length (>= 0 bp)	4793325
Total length (>= 1000 bp)	4789791
Total length (>= 5000 bp)	4758237
Total length (>= 10000 bp)	4740722
Total length (>= 25000 bp)	4644902
Total length (>= 50000 bp)	4537619
# contigs	50
Largest contig	776389
Total length	4793325
GC (%)	52.27
N50	370713
N90	92588
auN	379247.4
L50	5
L90	14
# N's per 100 kbp	0.00
