All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    GCF_000171535.2_ASM17153v2_genomic
# contigs (>= 0 bp)         5                                 
# contigs (>= 1000 bp)      5                                 
# contigs (>= 5000 bp)      3                                 
# contigs (>= 10000 bp)     2                                 
# contigs (>= 25000 bp)     2                                 
# contigs (>= 50000 bp)     2                                 
Total length (>= 0 bp)      4876885                           
Total length (>= 1000 bp)   4876885                           
Total length (>= 5000 bp)   4870009                           
Total length (>= 10000 bp)  4864129                           
Total length (>= 25000 bp)  4864129                           
Total length (>= 50000 bp)  4864129                           
# contigs                   5                                 
Largest contig              3027433                           
Total length                4876885                           
GC (%)                      52.07                             
N50                         3027433                           
N90                         1836696                           
auN                         2571079.9                         
L50                         1                                 
L90                         2                                 
# N's per 100 kbp           0.06                              
