#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011149.1:2688526-2690325|- -            600 182107at2            -            492  6.5e-222  735.2   6.4   1   1  1.8e-222  7.4e-220  728.5   6.4     1   491     4   594     4   595 0.89 NC_011149.1_2499 # 2688526 # 2690325 # -1 # ID=1_2499;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.530
NC_011149.1:4136944-4138767|+ -            608 182107at2            -            492   4.5e-44  148.7   3.4   1   2   2.2e-41     9e-39  131.2   1.9     1   232     5   279     5   287 0.76 NC_011149.1_3854 # 4136944 # 4138767 # 1 # ID=1_3854;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NC_011149.1:4136944-4138767|+ -            608 182107at2            -            492   4.5e-44  148.7   3.4   2   2   1.4e-06   0.00057   16.4   0.0   261   350   341   424   312   430 0.80 NC_011149.1_3854 # 4136944 # 4138767 # 1 # ID=1_3854;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NC_011149.1:3515572-3517686|- -            705 182107at2            -            492   8.5e-33  111.5   0.1   1   4   4.8e-24     2e-21   74.0   0.0     2   134    11   168    10   201 0.79 NC_011149.1_3303 # 3515572 # 3517686 # -1 # ID=1_3303;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NC_011149.1:3515572-3517686|- -            705 182107at2            -            492   8.5e-33  111.5   0.1   2   4     0.049        20    1.4   0.0   118   160   246   291   239   305 0.76 NC_011149.1_3303 # 3515572 # 3517686 # -1 # ID=1_3303;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NC_011149.1:3515572-3517686|- -            705 182107at2            -            492   8.5e-33  111.5   0.1   3   4   2.1e-09   8.8e-07   25.7   0.0   157   314   312   491   295   504 0.69 NC_011149.1_3303 # 3515572 # 3517686 # -1 # ID=1_3303;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NC_011149.1:3515572-3517686|- -            705 182107at2            -            492   8.5e-33  111.5   0.1   4   4     0.026        11    2.3   0.0   322   351   612   641   601   691 0.71 NC_011149.1_3303 # 3515572 # 3517686 # -1 # ID=1_3303;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NC_011149.1:3370821-3373499|- -            893 182107at2            -            492   5.3e-26   89.0   0.6   1   2   2.5e-28     1e-25   88.1   0.2     5   194   397   599   395   614 0.81 NC_011149.1_3148 # 3370821 # 3373499 # -1 # ID=1_3148;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.555
NC_011149.1:3370821-3373499|- -            893 182107at2            -            492   5.3e-26   89.0   0.6   2   2       1.3   5.4e+02   -3.3   0.0   175   201   811   837   776   840 0.77 NC_011149.1_3148 # 3370821 # 3373499 # -1 # ID=1_3148;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.555
NC_011149.1:4755118-4756707|+ -            530 182107at2            -            492   1.5e-23   80.9   0.5   1   2   3.6e-21   1.5e-18   64.5   0.0     2   128    14   162    13   171 0.82 NC_011149.1_4416 # 4755118 # 4756707 # 1 # ID=1_4416;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.546
NC_011149.1:4755118-4756707|+ -            530 182107at2            -            492   1.5e-23   80.9   0.5   2   2   6.9e-05     0.028   10.8   0.1   220   312   372   469   202   483 0.70 NC_011149.1_4416 # 4755118 # 4756707 # 1 # ID=1_4416;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.546
NC_011149.1:3514316-3515500|- -            395 182107at2            -            492   6.1e-13   46.0   0.1   1   1   3.3e-15   1.4e-12   44.8   0.1     3   200    14   249    13   276 0.68 NC_011149.1_3302 # 3514316 # 3515500 # -1 # ID=1_3302;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.543
