#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011094.1:2727878-2729677|- -            600 182107at2            -            492  6.5e-222  735.2   6.4   1   1  1.8e-222  7.5e-220  728.5   6.4     1   491     4   594     4   595 0.89 NC_011094.1_2595 # 2727878 # 2729677 # -1 # ID=1_2595;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.531
NC_011094.1:4095721-4097544|+ -            608 182107at2            -            492   2.7e-44  149.4   3.4   1   2   1.3e-41   5.4e-39  131.9   1.9     1   232     5   279     5   287 0.76 NC_011094.1_3851 # 4095721 # 4097544 # 1 # ID=1_3851;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.537
NC_011094.1:4095721-4097544|+ -            608 182107at2            -            492   2.7e-44  149.4   3.4   2   2   1.4e-06   0.00057   16.4   0.0   261   350   341   424   312   430 0.80 NC_011094.1_3851 # 4095721 # 4097544 # 1 # ID=1_3851;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.537
NC_011094.1:3497471-3499585|- -            705 182107at2            -            492   8.6e-33  111.5   0.1   1   4   4.8e-24     2e-21   74.0   0.0     2   134    11   168    10   201 0.79 NC_011094.1_3324 # 3497471 # 3499585 # -1 # ID=1_3324;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NC_011094.1:3497471-3499585|- -            705 182107at2            -            492   8.6e-33  111.5   0.1   2   4     0.049        20    1.4   0.0   118   160   246   291   239   305 0.76 NC_011094.1_3324 # 3497471 # 3499585 # -1 # ID=1_3324;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NC_011094.1:3497471-3499585|- -            705 182107at2            -            492   8.6e-33  111.5   0.1   3   4   2.1e-09   8.9e-07   25.7   0.0   157   314   312   491   295   504 0.69 NC_011094.1_3324 # 3497471 # 3499585 # -1 # ID=1_3324;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NC_011094.1:3497471-3499585|- -            705 182107at2            -            492   8.6e-33  111.5   0.1   4   4     0.026        11    2.3   0.0   322   351   612   641   601   691 0.71 NC_011094.1_3324 # 3497471 # 3499585 # -1 # ID=1_3324;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NC_011094.1:3354026-3356704|- -            893 182107at2            -            492   5.4e-26   89.0   0.6   1   2   2.5e-28     1e-25   88.1   0.2     5   194   397   599   395   614 0.81 NC_011094.1_3170 # 3354026 # 3356704 # -1 # ID=1_3170;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.554
NC_011094.1:3354026-3356704|- -            893 182107at2            -            492   5.4e-26   89.0   0.6   2   2       1.3   5.4e+02   -3.3   0.0   175   201   811   837   776   840 0.77 NC_011094.1_3170 # 3354026 # 3356704 # -1 # ID=1_3170;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.554
NC_011094.1:4670300-4671889|+ -            530 182107at2            -            492   1.6e-23   80.9   0.5   1   2   3.6e-21   1.5e-18   64.5   0.0     2   128    14   162    13   171 0.82 NC_011094.1_4388 # 4670300 # 4671889 # 1 # ID=1_4388;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.544
NC_011094.1:4670300-4671889|+ -            530 182107at2            -            492   1.6e-23   80.9   0.5   2   2   6.9e-05     0.029   10.8   0.1   220   312   372   469   202   483 0.70 NC_011094.1_4388 # 4670300 # 4671889 # 1 # ID=1_4388;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.544
NC_011094.1:3496215-3497399|- -            395 182107at2            -            492   6.1e-13   46.0   0.1   1   1   3.3e-15   1.4e-12   44.8   0.1     3   200    14   249    13   276 0.68 NC_011094.1_3323 # 3496215 # 3497399 # -1 # ID=1_3323;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.539
NC_011094.1:4227931-4229115|+ -            395 182107at2            -            492   6.1e-13   46.0   0.1   1   1   3.3e-15   1.4e-12   44.8   0.1     3   200    14   249    13   276 0.68 NC_011094.1_3972 # 4227931 # 4229115 # 1 # ID=1_3972;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NC_011094.1:3750320-3752170|- -            617 182107at2            -            492   1.4e-12   44.8   0.0   1   1     5e-15     2e-12   44.3   0.0     8   196     7   209     1   218 0.78 NC_011094.1_3543 # 3750320 # 3752170 # -1 # ID=1_3543;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.571
NC_011094.1:2978280-2979719|- -            480 182107at2            -            492     4e-11   40.0   0.1   1   2      0.17        72   -0.4   0.0     8    24    34    50    29    58 0.80 NC_011094.1_2825 # 2978280 # 2979719 # -1 # ID=1_2825;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.552
NC_011094.1:2978280-2979719|- -            480 182107at2            -            492     4e-11   40.0   0.1   2   2   5.1e-13   2.1e-10   37.6   0.0    25   122    80   182    63   195 0.81 NC_011094.1_2825 # 2978280 # 2979719 # -1 # ID=1_2825;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.552
NC_011094.1:2653672-2655144|- -            491 182107at2            -            492   1.2e-09   35.2   0.0   1   2      0.04        17    1.7   0.0    66   152    73   159     5   173 0.68 NC_011094.1_2532 # 2653672 # 2655144 # -1 # ID=1_2532;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
NC_011094.1:2653672-2655144|- -            491 182107at2            -            492   1.2e-09   35.2   0.0   2   2   4.1e-11   1.7e-08   31.3   0.1     5   158   206   375   203   388 0.73 NC_011094.1_2532 # 2653672 # 2655144 # -1 # ID=1_2532;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
NC_011094.1:2725031-2725936|- -            302 182107at2            -            492   0.00019   18.0   0.1   1   1   6.7e-07   0.00028   17.4   0.1     5   157    12   175     9   185 0.75 NC_011094.1_2592 # 2725031 # 2725936 # -1 # ID=1_2592;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm
# Target file:     /output/GCF_000020745.1_ASM2074v1_genomic/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /output/GCF_000020745.1_ASM2074v1_genomic/run_bacteria_odb10/hmmer_output/182107at2.out --cpu 1 /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm /output/GCF_000020745.1_ASM2074v1_genomic/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /busco_wd
# Date:            Wed Feb 25 15:48:52 2026
# [ok]
