gene	contig	start	stop	strand	family	nb_copy_in_genome	partition	persistent_neighbors	shell_neighbors	cloud_neighbors	RGP	Spot	Module
LNHIMF_00005	contig_1	169	255	+	AJBGEP_00005	1	persistent	2	0	0			
LNHIMF_00010	contig_1	337	2799	+	AJBGEP_00010	1	persistent	2	0	0			
LNHIMF_00015	contig_1	2801	3730	+	AJBGEP_00015	1	persistent	2	0	0			
LNHIMF_00020	contig_1	3734	5020	+	AJBGEP_00020	1	persistent	2	0	0			
LNHIMF_00025	contig_1	5114	5887	-	AJBGEP_00025	1	persistent	2	0	0			
LNHIMF_00030	contig_1	5966	7396	-	AJBGEP_00030	1	persistent	2	0	0			
LNHIMF_00035	contig_1	7665	8618	+	AJBGEP_00035	1	persistent	2	0	0			
LNHIMF_00040	contig_1	8729	9319	+	AJBGEP_00040	1	persistent	2	0	0			
LNHIMF_00045	contig_1	9376	9942	-	AJBGEP_00045	1	persistent	2	0	0			
LNHIMF_00050	contig_1	10092	10805	-	AJBGEP_00050	1	persistent	2	0	0			
LNHIMF_00055	contig_1	10841	11245	-	AJBGEP_00055	1	persistent	2	0	0			
LNHIMF_00060	contig_1	11594	13510	+	AJBGEP_00060	1	persistent	2	0	0			
LNHIMF_00070	contig_1	13596	14735	+	AJBGEP_00070	1	persistent	2	0	1			
LNHIMF_00075	contig_1	15016	15963	+	AJBGEP_00075	1	persistent	2	0	1			
LNHIMF_00080	contig_1	16090	16434	+	AJBGEP_00080	1	persistent	2	0	0			
LNHIMF_00085	contig_1	16495	17028	-	AJBGEP_00085	1	persistent	2	0	0			
LNHIMF_00090	contig_1	17045	17488	-	HFCAGB_00095	1	persistent	2	0	0			
LNHIMF_00095	contig_1	17869	19968	+	AJBGEP_00095	1	persistent	2	0	0			
LNHIMF_00100	contig_1	20061	23057	+	AJBGEP_00100	1	persistent	2	0	0			
LNHIMF_00105	contig_1	23346	24041	+	AJBGEP_00105	1	persistent	2	0	0			
LNHIMF_00110	contig_1	24472	25014	+	AJBGEP_00110	1	persistent	2	0	0			
LNHIMF_00115	contig_1	25116	25802	+	AJBGEP_00115	1	persistent	2	0	0			
LNHIMF_00120	contig_1	25807	28428	+	AJBGEP_00120	1	persistent	2	0	0			
LNHIMF_00125	contig_1	28429	29436	+	AJBGEP_00125	1	persistent	2	0	0			
LNHIMF_00130	contig_1	29437	29982	+	AJBGEP_00130	1	persistent	2	0	0			
LNHIMF_00135	contig_1	29998	30516	+	AJBGEP_00135	1	persistent	2	0	0			
LNHIMF_00140	contig_1	30482	31213	+	AJBGEP_00140	1	persistent	2	0	0			
LNHIMF_00145	contig_1	31278	32123	+	AJBGEP_00145	1	persistent	2	0	0			
LNHIMF_00150	contig_1	32162	32449	+	AJBGEP_00150	1	persistent	2	0	0			
LNHIMF_00155	contig_1	32549	32998	-	AJBGEP_00155	1	persistent	2	0	1			
LNHIMF_00160	contig_1	33368	34372	+	AJBGEP_00160	1	persistent	2	0	0			
LNHIMF_00165	contig_1	34380	34817	-	AJBGEP_00165	1	persistent	2	0	0			
LNHIMF_00170	contig_1	35340	37058	+	AJBGEP_00170	1	persistent	2	0	0			
LNHIMF_00175	contig_1	37104	38666	-	AJBGEP_00175	1	persistent	2	0	0			
LNHIMF_00180	contig_1	38774	39535	-	AJBGEP_00180	1	persistent	2	0	0			
LNHIMF_00185	contig_1	40130	41623	+	AJBGEP_00185	1	persistent	2	0	2			
LNHIMF_00190	contig_1	41722	42912	+	AJBGEP_00190	1	persistent	2	0	0			
LNHIMF_00195	contig_1	42937	44184	+	IKCLMC_15850	1	persistent	2	0	0			
LNHIMF_00200	contig_1	44311	46026	+	AJBGEP_00200	1	persistent	2	0	1			
LNHIMF_00205	contig_1	46189	47355	+	AJBGEP_00205	1	persistent	2	0	0			
LNHIMF_00210	contig_1	47423	48316	+	HFCAGB_00215	1	persistent	2	0	0			
LNHIMF_00215	contig_1	48371	50410	-	AJBGEP_00215	1	persistent	2	0	0			
LNHIMF_00220	contig_1	50450	51823	-	BEJGEH_00225	1	persistent	2	0	1			
LNHIMF_00225	contig_1	52323	52532	+	AJBGEP_00225	1	persistent	2	0	0			
LNHIMF_00230	contig_1	52876	53814	+	AJBGEP_00230	1	persistent	2	0	1			
LNHIMF_00235	contig_1	53859	56693	+	AJBGEP_00235	1	persistent	2	0	0			
LNHIMF_00240	contig_1	56693	57193	+	AJBGEP_00240	1	persistent	2	0	0			
LNHIMF_00245	contig_1	57348	57797	+	AJBGEP_00245	1	persistent	2	0	0			
LNHIMF_00250	contig_1	57800	58750	+	AJBGEP_00250	1	persistent	2	0	0			
LNHIMF_00260	contig_1	58950	60152	+	AJBGEP_00260	1	persistent	2	0	0			
LNHIMF_00265	contig_1	60168	61088	+	AJBGEP_00265	1	persistent	2	0	0			
LNHIMF_00270	contig_1	61110	61796	-	AJBGEP_00270	1	persistent	2	0	0			
LNHIMF_00275	contig_1	61798	63456	-	HFCAGB_00285	1	persistent	2	0	0			
LNHIMF_00280	contig_1	63552	64853	-	AJBGEP_00280	2	persistent	4	0	0			module_0
LNHIMF_00285	contig_1	64866	66635	-	AJBGEP_00285	2	persistent	2	0	1			module_0
LNHIMF_00290	contig_1	66651	66890	-	HFCAGB_17945	2	persistent	4	0	1			module_0
LNHIMF_00295	contig_1	67049	68389	-	AJBGEP_00295	1	persistent	2	0	0			
LNHIMF_00300	contig_1	68634	69677	+	GEGEGB_00315	1	persistent	2	0	0			
LNHIMF_00305	contig_1	69707	70000	+	AJBGEP_00305	1	persistent	2	0	0			
LNHIMF_00310	contig_1	69997	70866	+	HFCAGB_00320	1	persistent	2	0	0			
LNHIMF_00315	contig_1	70877	72397	+	AJBGEP_00315	1	persistent	2	0	0			
LNHIMF_00320	contig_1	72397	72948	+	AJBGEP_00320	1	persistent	2	0	0			
LNHIMF_00325	contig_1	72926	73834	+	AJBGEP_00325	1	persistent	2	0	0			
LNHIMF_00330	contig_1	74014	74835	+	AJBGEP_00330	1	persistent	2	0	2			
LNHIMF_00335	contig_1	74962	75126	-	ODDLKH_02715	1	cloud	2	0	0			
LNHIMF_00340	contig_1	75873	77021	+	AJBGEP_00340	1	persistent	2	0	2			
LNHIMF_00345	contig_1	77040	80267	+	AJBGEP_00345	1	persistent	2	0	1			
LNHIMF_00350	contig_1	80541	80936	+	AJBGEP_00360	1	persistent	2	0	1			
LNHIMF_00355	contig_1	81013	81609	-	AJBGEP_00365	1	persistent	2	0	0			
LNHIMF_00360	contig_1	81719	82504	-	AJBGEP_00370	1	persistent	2	0	0			
LNHIMF_00365	contig_1	82558	84111	-	AJBGEP_00375	1	persistent	2	0	0			
LNHIMF_00370	contig_1	84174	85391	-	AJBGEP_00380	1	persistent	2	0	0			
LNHIMF_00375	contig_1	85503	86645	-	AJBGEP_00385	1	persistent	2	0	0			
LNHIMF_00380	contig_1	86680	88197	-	HFCAGB_00385	1	persistent	2	0	0			
LNHIMF_00385	contig_1	88678	89448	+	AJBGEP_00395	1	persistent	2	0	0			
LNHIMF_00390	contig_1	89464	90405	+	AJBGEP_00400	1	persistent	2	0	0			
LNHIMF_00395	contig_1	90455	91741	+	AJBGEP_00405	1	persistent	2	0	0			
LNHIMF_00400	contig_1	91738	92025	+	AJBGEP_00410	1	persistent	2	0	0			
LNHIMF_00410	contig_1	92172	93512	+	AJBGEP_00420	1	persistent	2	0	0			
LNHIMF_00415	contig_1	93601	93831	+	AJBGEP_00425	1	persistent	3	0	0			
LNHIMF_00420	contig_1	94125	94547	+	BEJGEH_00425	1	persistent	2	0	0			
LNHIMF_00430	contig_1	94771	95061	-	AJBGEP_00440	1	persistent	2	0	0			
LNHIMF_00435	contig_1	95959	97848	+	AJBGEP_00445	1	persistent	2	0	0			
