gene	contig	start	stop	strand	family	nb_copy_in_genome	partition	persistent_neighbors	shell_neighbors	cloud_neighbors	RGP	Spot	Module
ODDLKH_00020	contig_1	3623	4651	+	AJBGEP_21755	1	persistent	2	0	0			
ODDLKH_00025	contig_1	4648	5610	+	AJBGEP_21760	1	persistent	2	0	0			
ODDLKH_00030	contig_1	5645	6571	-	AJBGEP_21765	1	persistent	2	0	0			
ODDLKH_00035	contig_2	109	537	+	AJBGEP_21805	1	persistent	2	0	0			
ODDLKH_00040	contig_2	541	1245	+	AJBGEP_21810	1	persistent	2	0	0			
ODDLKH_00045	contig_2	1665	2162	+	AJBGEP_21815	1	persistent	2	0	0			
ODDLKH_00050	contig_2	2229	2594	+	AJBGEP_21820	1	persistent	2	0	0			
ODDLKH_00060	contig_2	2912	6940	+	HFCAGB_22070	1	persistent	2	0	0			
ODDLKH_00065	contig_2	7017	11240	+	AJBGEP_21835	1	persistent	3	0	1			
ODDLKH_00070	contig_2	11327	11608	+	ODDLKH_00070	1	persistent	2	0	1			
ODDLKH_00075	contig_2	11610	11954	-	PKJKAM_01095	1	persistent	3	0	3			
ODDLKH_00080	contig_2	11908	12045	-	GEGEGB_18290	1	cloud	3	0	2			
ODDLKH_00085	contig_2	12703	13836	-	AJBGEP_21855	1	persistent	2	0	3			
ODDLKH_00090	contig_2	13833	14603	-	AJBGEP_21860	1	persistent	3	0	0			
ODDLKH_00095	contig_2	14605	14805	-	BEJGEH_21105	1	persistent	2	0	0			
ODDLKH_00100	contig_2	14786	15544	-	HFCAGB_22110	1	persistent	3	0	0			
ODDLKH_00105	contig_2	15537	16172	-	HFCAGB_22115	1	persistent	2	0	0			
ODDLKH_00110	contig_2	16172	18067	-	AJBGEP_21880	1	persistent	2	0	0			
ODDLKH_00115	contig_2	18431	18919	-	AJBGEP_21885	1	persistent	2	0	0			
ODDLKH_00120	contig_2	19012	19785	+	HFCAGB_22130	1	persistent	2	0	0			
ODDLKH_00125	contig_2	19826	20890	+	AJBGEP_21895	1	persistent	2	0	0			
ODDLKH_00130	contig_2	20900	21571	+	AJBGEP_21900	1	persistent	2	0	0			
ODDLKH_00135	contig_2	21613	22203	+	AJBGEP_21905	1	persistent	2	0	0			
ODDLKH_00140	contig_2	22390	22662	+	AJBGEP_21910	1	persistent	2	0	0			
ODDLKH_00145	contig_2	22674	23366	+	AJBGEP_21915	1	persistent	2	0	0			
ODDLKH_00150	contig_2	23408	23863	-	AJBGEP_21920	1	persistent	2	0	0			
ODDLKH_00155	contig_2	23928	25514	+	AJBGEP_21925	1	persistent	2	0	0			
