gene	contig	start	stop	strand	family	nb_copy_in_genome	partition	persistent_neighbors	shell_neighbors	cloud_neighbors	RGP	Spot	Module
AJBGEP_00005	contig_1	169	255	+	AJBGEP_00005	1	persistent	2	0	0			
AJBGEP_00010	contig_1	337	2799	+	AJBGEP_00010	1	persistent	2	0	0			
AJBGEP_00015	contig_1	2801	3730	+	AJBGEP_00015	1	persistent	2	0	0			
AJBGEP_00020	contig_1	3734	5020	+	AJBGEP_00020	1	persistent	2	0	0			
AJBGEP_00025	contig_1	5114	5887	-	AJBGEP_00025	1	persistent	2	0	0			
AJBGEP_00030	contig_1	5966	7396	-	AJBGEP_00030	1	persistent	2	0	0			
AJBGEP_00035	contig_1	7665	8618	+	AJBGEP_00035	1	persistent	2	0	0			
AJBGEP_00040	contig_1	8729	9319	+	AJBGEP_00040	1	persistent	2	0	0			
AJBGEP_00045	contig_1	9376	9942	-	AJBGEP_00045	1	persistent	2	0	0			
AJBGEP_00050	contig_1	10092	10805	-	AJBGEP_00050	1	persistent	2	0	0			
AJBGEP_00055	contig_1	10841	11245	-	AJBGEP_00055	1	persistent	2	0	0			
AJBGEP_00060	contig_1	11593	13509	+	AJBGEP_00060	1	persistent	2	0	0			
AJBGEP_00070	contig_1	13595	14734	+	AJBGEP_00070	1	persistent	2	0	1			
AJBGEP_00075	contig_1	15014	15961	+	AJBGEP_00075	1	persistent	2	0	1			
AJBGEP_00080	contig_1	16088	16432	+	AJBGEP_00080	1	persistent	2	0	0			
AJBGEP_00085	contig_1	16493	17026	-	AJBGEP_00085	1	persistent	2	0	0			
AJBGEP_00090	contig_1	17043	17486	-	HFCAGB_00095	1	persistent	2	0	0			
AJBGEP_00095	contig_1	17867	19966	+	AJBGEP_00095	1	persistent	2	0	0			
AJBGEP_00100	contig_1	20058	23054	+	AJBGEP_00100	1	persistent	2	0	0			
AJBGEP_00105	contig_1	23335	24039	+	AJBGEP_00105	1	persistent	2	0	0			
AJBGEP_00110	contig_1	24469	25011	+	AJBGEP_00110	1	persistent	2	0	0			
AJBGEP_00115	contig_1	25112	25798	+	AJBGEP_00115	1	persistent	2	0	0			
AJBGEP_00120	contig_1	25803	28424	+	AJBGEP_00120	1	persistent	2	0	0			
AJBGEP_00125	contig_1	28425	29432	+	AJBGEP_00125	1	persistent	2	0	0			
AJBGEP_00130	contig_1	29433	29978	+	AJBGEP_00130	1	persistent	2	0	0			
AJBGEP_00135	contig_1	29994	30512	+	AJBGEP_00135	1	persistent	2	0	0			
AJBGEP_00140	contig_1	30478	31209	+	AJBGEP_00140	1	persistent	2	0	0			
AJBGEP_00145	contig_1	31274	32119	+	AJBGEP_00145	1	persistent	2	0	0			
AJBGEP_00150	contig_1	32158	32445	+	AJBGEP_00150	1	persistent	2	0	0			
AJBGEP_00155	contig_1	32545	32994	-	AJBGEP_00155	1	persistent	2	0	1			
AJBGEP_00160	contig_1	33364	34368	+	AJBGEP_00160	1	persistent	2	0	0			
AJBGEP_00165	contig_1	34376	34816	-	AJBGEP_00165	1	persistent	2	0	0			
AJBGEP_00170	contig_1	35339	37057	+	AJBGEP_00170	1	persistent	2	0	0			
AJBGEP_00175	contig_1	37103	38665	-	AJBGEP_00175	1	persistent	2	0	0			
AJBGEP_00180	contig_1	38773	39534	-	AJBGEP_00180	1	persistent	2	0	0			
AJBGEP_00185	contig_1	40131	41624	+	AJBGEP_00185	1	persistent	2	0	2			
AJBGEP_00190	contig_1	41723	42913	+	AJBGEP_00190	1	persistent	2	0	0			
AJBGEP_00195	contig_1	42938	44185	+	IKCLMC_15850	1	persistent	2	0	0			
AJBGEP_00200	contig_1	44312	46027	+	AJBGEP_00200	1	persistent	2	0	1			
AJBGEP_00205	contig_1	46190	47356	+	AJBGEP_00205	1	persistent	2	0	0			
AJBGEP_00210	contig_1	47424	48317	+	HFCAGB_00215	1	persistent	2	0	0			
AJBGEP_00215	contig_1	48372	50411	-	AJBGEP_00215	1	persistent	2	0	0			
AJBGEP_00220	contig_1	50451	51824	-	BEJGEH_00225	1	persistent	2	0	1			
AJBGEP_00225	contig_1	52319	52528	+	AJBGEP_00225	1	persistent	2	0	0			
AJBGEP_00230	contig_1	52872	53810	+	AJBGEP_00230	1	persistent	2	0	1			
AJBGEP_00235	contig_1	53855	56689	+	AJBGEP_00235	1	persistent	2	0	0			
AJBGEP_00240	contig_1	56689	57189	+	AJBGEP_00240	1	persistent	2	0	0			
AJBGEP_00245	contig_1	57344	57793	+	AJBGEP_00245	1	persistent	2	0	0			
AJBGEP_00250	contig_1	57796	58746	+	AJBGEP_00250	1	persistent	2	0	0			
AJBGEP_00260	contig_1	58946	60148	+	AJBGEP_00260	1	persistent	2	0	0			
AJBGEP_00265	contig_1	60164	61084	+	AJBGEP_00265	1	persistent	2	0	0			
AJBGEP_00270	contig_1	61106	61792	-	AJBGEP_00270	1	persistent	2	0	0			
AJBGEP_00275	contig_1	61794	63452	-	HFCAGB_00285	1	persistent	2	0	0			
AJBGEP_00280	contig_1	63548	64849	-	AJBGEP_00280	3	persistent	4	0	0			module_0
AJBGEP_00285	contig_1	64862	66637	-	AJBGEP_00285	3	persistent	2	0	1			module_0
AJBGEP_00290	contig_1	66654	66893	-	HFCAGB_17945	3	persistent	4	0	1			module_0
AJBGEP_00295	contig_1	67052	68392	-	AJBGEP_00295	1	persistent	2	0	0			
AJBGEP_00300	contig_1	68712	69680	+	GEGEGB_00315	1	persistent	2	0	0			
AJBGEP_00305	contig_1	69710	70003	+	AJBGEP_00305	1	persistent	2	0	0			
AJBGEP_00310	contig_1	70000	70869	+	HFCAGB_00320	1	persistent	2	0	0			
AJBGEP_00315	contig_1	70880	72400	+	AJBGEP_00315	1	persistent	2	0	0			
AJBGEP_00320	contig_1	72400	72951	+	AJBGEP_00320	1	persistent	2	0	0			
AJBGEP_00325	contig_1	72929	73837	+	AJBGEP_00325	1	persistent	2	0	0			
AJBGEP_00330	contig_1	74017	74838	+	AJBGEP_00330	1	persistent	2	0	2			
AJBGEP_00335	contig_1	74964	75239	-	ODDLKH_02715	1	cloud	2	0	0			
AJBGEP_00340	contig_1	75881	77029	+	AJBGEP_00340	1	persistent	2	0	2			
AJBGEP_00345	contig_1	77048	80275	+	AJBGEP_00345	1	persistent	2	0	1			
AJBGEP_00355	contig_1	80499	80957	+	AJBGEP_00355	10	cloud	56	1	5			
AJBGEP_00360	contig_1	81260	81655	+	AJBGEP_00360	1	persistent	2	0	1			
AJBGEP_00365	contig_1	81732	82328	-	AJBGEP_00365	1	persistent	2	0	0			
AJBGEP_00370	contig_1	82437	83222	-	AJBGEP_00370	1	persistent	2	0	0			
