gene	contig	start	stop	strand	family	nb_copy_in_genome	partition	persistent_neighbors	shell_neighbors	cloud_neighbors	RGP	Spot	Module
HFCAGB_00005	contig_1	169	255	+	AJBGEP_00005	1	persistent	2	0	0			
HFCAGB_00010	contig_1	337	2799	+	AJBGEP_00010	1	persistent	2	0	0			
HFCAGB_00015	contig_1	2801	3730	+	AJBGEP_00015	1	persistent	2	0	0			
HFCAGB_00020	contig_1	3734	5020	+	AJBGEP_00020	1	persistent	2	0	0			
HFCAGB_00025	contig_1	5114	5887	-	AJBGEP_00025	1	persistent	2	0	0			
HFCAGB_00030	contig_1	5966	7396	-	AJBGEP_00030	1	persistent	2	0	0			
HFCAGB_00035	contig_1	7665	8618	+	AJBGEP_00035	1	persistent	2	0	0			
HFCAGB_00040	contig_1	8729	9319	+	AJBGEP_00040	1	persistent	2	0	0			
HFCAGB_00045	contig_1	9376	9942	-	AJBGEP_00045	1	persistent	2	0	0			
HFCAGB_00050	contig_1	10092	10805	-	AJBGEP_00050	1	persistent	2	0	0			
HFCAGB_00055	contig_1	10841	11245	-	AJBGEP_00055	1	persistent	2	0	0			
HFCAGB_00060	contig_1	11594	13510	+	AJBGEP_00060	1	persistent	2	0	0			
HFCAGB_00070	contig_1	13596	14735	+	AJBGEP_00070	1	persistent	2	0	1			
HFCAGB_00075	contig_1	14682	14822	-	HFCAGB_00075	1	cloud	2	0	0			
HFCAGB_00080	contig_1	15016	15963	+	AJBGEP_00075	1	persistent	2	0	1			
HFCAGB_00085	contig_1	16090	16434	+	AJBGEP_00080	1	persistent	2	0	0			
HFCAGB_00090	contig_1	16495	17028	-	AJBGEP_00085	1	persistent	2	0	0			
HFCAGB_00095	contig_1	17045	17488	-	HFCAGB_00095	1	persistent	2	0	0			
HFCAGB_00100	contig_1	17869	19968	+	AJBGEP_00095	1	persistent	2	0	0			
HFCAGB_00105	contig_1	20060	23056	+	AJBGEP_00100	1	persistent	2	0	0			
HFCAGB_00110	contig_1	23337	24041	+	AJBGEP_00105	1	persistent	2	0	0			
HFCAGB_00115	contig_1	24471	25013	+	AJBGEP_00110	1	persistent	2	0	0			
HFCAGB_00120	contig_1	25114	25800	+	AJBGEP_00115	1	persistent	2	0	0			
HFCAGB_00125	contig_1	25805	28426	+	AJBGEP_00120	1	persistent	2	0	0			
HFCAGB_00130	contig_1	28427	29434	+	AJBGEP_00125	1	persistent	2	0	0			
HFCAGB_00135	contig_1	29435	29980	+	AJBGEP_00130	1	persistent	2	0	0			
HFCAGB_00140	contig_1	29996	30514	+	AJBGEP_00135	1	persistent	2	0	0			
HFCAGB_00145	contig_1	30480	31211	+	AJBGEP_00140	1	persistent	2	0	0			
HFCAGB_00150	contig_1	31275	32120	+	AJBGEP_00145	1	persistent	2	0	0			
HFCAGB_00155	contig_1	32159	32446	+	AJBGEP_00150	1	persistent	2	0	0			
HFCAGB_00160	contig_1	32546	32995	-	AJBGEP_00155	1	persistent	2	0	1			
HFCAGB_00165	contig_1	33365	34369	+	AJBGEP_00160	1	persistent	2	0	0			
HFCAGB_00170	contig_1	34377	34817	-	AJBGEP_00165	1	persistent	2	0	0			
HFCAGB_00175	contig_1	35340	37058	+	AJBGEP_00170	1	persistent	2	0	0			
HFCAGB_00180	contig_1	37104	38666	-	AJBGEP_00175	1	persistent	2	0	0			
HFCAGB_00185	contig_1	38774	39535	-	AJBGEP_00180	1	persistent	2	0	0			
HFCAGB_00190	contig_1	40129	41622	+	AJBGEP_00185	1	persistent	2	0	2			
HFCAGB_00195	contig_1	41721	42911	+	AJBGEP_00190	1	persistent	2	0	0			
HFCAGB_00200	contig_1	42936	44183	+	IKCLMC_15850	1	persistent	2	0	0			
HFCAGB_00205	contig_1	44310	46025	+	AJBGEP_00200	1	persistent	2	0	1			
HFCAGB_00210	contig_1	46188	47354	+	AJBGEP_00205	1	persistent	2	0	0			
HFCAGB_00215	contig_1	47422	48315	+	HFCAGB_00215	1	persistent	2	0	0			
HFCAGB_00220	contig_1	48370	50409	-	AJBGEP_00215	1	persistent	2	0	0			
HFCAGB_00225	contig_1	50449	50859	-	BEJGEH_00225	2	persistent	2	0	1			
HFCAGB_00230	contig_1	50905	51822	-	BEJGEH_00225	2	persistent	2	0	1			
HFCAGB_00235	contig_1	52317	52526	+	AJBGEP_00225	1	persistent	2	0	0			
HFCAGB_00240	contig_1	52870	53808	+	AJBGEP_00230	1	persistent	2	0	1			
HFCAGB_00245	contig_1	53853	56687	+	AJBGEP_00235	1	persistent	2	0	0			
HFCAGB_00250	contig_1	56687	57187	+	AJBGEP_00240	1	persistent	2	0	0			
HFCAGB_00255	contig_1	57342	57791	+	AJBGEP_00245	1	persistent	2	0	0			
HFCAGB_00260	contig_1	57794	58744	+	AJBGEP_00250	1	persistent	2	0	0			
HFCAGB_00270	contig_1	59187	60146	+	AJBGEP_00260	1	persistent	2	0	0			
HFCAGB_00275	contig_1	60162	61082	+	AJBGEP_00265	1	persistent	2	0	0			
HFCAGB_00280	contig_1	61104	61790	-	AJBGEP_00270	1	persistent	2	0	0			
HFCAGB_00285	contig_1	61792	63450	-	HFCAGB_00285	1	persistent	2	0	0			
HFCAGB_00290	contig_1	63546	64847	-	AJBGEP_00280	3	persistent	4	0	0			module_0
HFCAGB_00295	contig_1	64860	66632	-	AJBGEP_00285	3	persistent	2	0	1			module_0
HFCAGB_00300	contig_1	66648	66887	-	HFCAGB_17945	3	persistent	4	0	1			module_0
HFCAGB_00305	contig_1	67046	68386	-	AJBGEP_00295	1	persistent	2	0	0			
HFCAGB_00310	contig_1	68706	69674	+	GEGEGB_00315	1	persistent	2	0	0			
HFCAGB_00315	contig_1	69704	69997	+	AJBGEP_00305	1	persistent	2	0	0			
HFCAGB_00320	contig_1	69994	70863	+	HFCAGB_00320	1	persistent	2	0	0			
HFCAGB_00325	contig_1	70874	72394	+	AJBGEP_00315	1	persistent	2	0	0			
HFCAGB_00330	contig_1	72394	72945	+	AJBGEP_00320	1	persistent	2	0	0			
HFCAGB_00335	contig_1	72923	73831	+	AJBGEP_00325	1	persistent	2	0	0			
HFCAGB_00340	contig_1	74011	74832	+	AJBGEP_00330	1	persistent	2	0	2			
HFCAGB_00345	contig_1	75696	76844	+	AJBGEP_00340	1	persistent	2	0	2			
