gene	contig	start	stop	strand	family	nb_copy_in_genome	partition	persistent_neighbors	shell_neighbors	cloud_neighbors	RGP	Spot	Module
GEGEGB_00005	contig_1	169	255	+	AJBGEP_00005	1	persistent	2	0	0			
GEGEGB_00010	contig_1	337	2799	+	AJBGEP_00010	1	persistent	2	0	0			
GEGEGB_00015	contig_1	2801	3730	+	AJBGEP_00015	1	persistent	2	0	0			
GEGEGB_00020	contig_1	3734	5020	+	AJBGEP_00020	1	persistent	2	0	0			
GEGEGB_00025	contig_1	5114	5887	-	AJBGEP_00025	1	persistent	2	0	0			
GEGEGB_00030	contig_1	5966	7396	-	AJBGEP_00030	1	persistent	2	0	0			
GEGEGB_00035	contig_1	7665	8618	+	AJBGEP_00035	1	persistent	2	0	0			
GEGEGB_00040	contig_1	8729	9319	+	AJBGEP_00040	1	persistent	2	0	0			
GEGEGB_00045	contig_1	9376	9942	-	AJBGEP_00045	1	persistent	2	0	0			
GEGEGB_00050	contig_1	10092	10805	-	AJBGEP_00050	1	persistent	2	0	0			
GEGEGB_00055	contig_1	10841	11245	-	AJBGEP_00055	1	persistent	2	0	0			
GEGEGB_00060	contig_1	11594	13510	+	AJBGEP_00060	1	persistent	2	0	0			
GEGEGB_00070	contig_1	13596	14735	+	AJBGEP_00070	1	persistent	2	0	1			
GEGEGB_00075	contig_1	15020	15967	+	AJBGEP_00075	1	persistent	2	0	1			
GEGEGB_00080	contig_1	16094	16438	+	AJBGEP_00080	1	persistent	2	0	0			
GEGEGB_00085	contig_1	16499	17032	-	AJBGEP_00085	1	persistent	2	0	0			
GEGEGB_00090	contig_1	17049	17492	-	HFCAGB_00095	1	persistent	2	0	0			
GEGEGB_00095	contig_1	17873	19972	+	AJBGEP_00095	1	persistent	2	0	0			
GEGEGB_00100	contig_1	20064	21155	+	AJBGEP_00100	2	persistent	2	0	0			
GEGEGB_00105	contig_1	21198	23060	+	AJBGEP_00100	2	persistent	2	0	0			
GEGEGB_00110	contig_1	23341	24045	+	AJBGEP_00105	1	persistent	2	0	0			
GEGEGB_00115	contig_1	24473	25015	+	AJBGEP_00110	1	persistent	2	0	0			
GEGEGB_00120	contig_1	25116	25802	+	AJBGEP_00115	1	persistent	2	0	0			
GEGEGB_00125	contig_1	25807	26727	+	AJBGEP_00120	3	persistent	2	0	0			
GEGEGB_00130	contig_1	26728	27759	+	AJBGEP_00120	3	persistent	2	0	0			
GEGEGB_00135	contig_1	27874	28428	+	AJBGEP_00120	3	persistent	2	0	0			
GEGEGB_00140	contig_1	28429	29436	+	AJBGEP_00125	1	persistent	2	0	0			
GEGEGB_00145	contig_1	29437	29982	+	AJBGEP_00130	1	persistent	2	0	0			
GEGEGB_00150	contig_1	29998	30516	+	AJBGEP_00135	1	persistent	2	0	0			
GEGEGB_00155	contig_1	30482	31213	+	AJBGEP_00140	1	persistent	2	0	0			
GEGEGB_00160	contig_1	31278	32123	+	AJBGEP_00145	1	persistent	2	0	0			
GEGEGB_00165	contig_1	32162	32449	+	AJBGEP_00150	1	persistent	2	0	0			
GEGEGB_00170	contig_1	32549	32998	-	AJBGEP_00155	1	persistent	2	0	1			
GEGEGB_00175	contig_1	33368	34363	+	AJBGEP_00160	1	persistent	2	0	0			
GEGEGB_00180	contig_1	34511	34816	-	AJBGEP_00165	1	persistent	2	0	0			
GEGEGB_00185	contig_1	35339	37057	+	AJBGEP_00170	1	persistent	2	0	0			
GEGEGB_00190	contig_1	37103	38665	-	AJBGEP_00175	1	persistent	2	0	0			
