#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	115765	115860	-	GEGEGB_00530	3.4	8.0		
contig_1	280494	280676	-	GEGEGB_01310	6.9	10.3		RefSeq:WP_000431187.1, SO:0001217, UniParc:UPI0001603FD6, UniRef:UniRef100_A0A9X7EH59, UniRef:UniRef50_A0A756LDJ2, UniRef:UniRef90_A0A9X7EH59
contig_1	304095	304847	+	GEGEGB_01440	28.2	8.8	PF00126.31|HTH_1	PFAM:PF00126.31, SO:0001217, UniRef:UniRef50_R4Y9R8
contig_1	364426	364605	-	GEGEGB_01735	6.5	10.9		SO:0001217, UniParc:UPI0005E72E8F, UniRef:UniRef100_A0A2T8LZ05, UniRef:UniRef50_A0A379WNS0, UniRef:UniRef90_A0A379WNS0
contig_1	447615	447746	+	GEGEGB_02060	4.9	4.5		
contig_1	537647	537742	-	GEGEGB_02520	3.7	6.0		SO:0001217, UniParc:UPI00024F1C1E, UniRef:UniRef100_A0A455S3T8, UniRef:UniRef50_A0A3S4H9S7, UniRef:UniRef90_A0A3S4H9S7
contig_1	539929	540084	+	GEGEGB_02535	5.7	9.7		
contig_1	739503	739616	+	GEGEGB_03500	4.2	4.1		SO:0001217, UniParc:UPI0005E6C374, UniRef:UniRef100_A0A2X5B4D3, UniRef:UniRef50_A0A2X5B4D3, UniRef:UniRef90_A0A2X5B4D3
contig_1	810444	810746	+	GEGEGB_03860	11.9	7.8		RefSeq:WP_000873936.1, SO:0001217, UniParc:UPI0000059C0D, UniRef:UniRef100_A0A725VJ44, UniRef:UniRef50_A0A6C8GCZ3, UniRef:UniRef90_A0A6C8GCZ3
contig_1	811451	812143	+	GEGEGB_03870	26.8	8.9		RefSeq:WP_000913131.1, SO:0001217, UniParc:UPI000190C1E8, UniRef:UniRef100_Q8Z5E1, UniRef:UniRef50_Q8Z5E1, UniRef:UniRef90_Q8Z5E1
contig_1	958089	958400	+	GEGEGB_04610	12.4	7.8		RefSeq:WP_000837630.1, SO:0001217, UniParc:UPI0001910BE3, UniRef:UniRef100_A0A3Y2BAW1, UniRef:UniRef50_A0A806NS90, UniRef:UniRef90_A0A806NS90
contig_1	958415	958801	+	GEGEGB_04615	15.1	4.8		RefSeq:WP_015606140.1, SO:0001217, UniParc:UPI0002D43198, UniRef:UniRef100_A0A3Y3XMA5, UniRef:UniRef50_A0A1D8F3F0, UniRef:UniRef90_A0A7B6SY88
contig_1	958818	959105	+	GEGEGB_04620	11.3	7.8		RefSeq:WP_001291071.1, SO:0001217, UniParc:UPI000190CA1F, UniRef:UniRef100_A0A3U2R996, UniRef:UniRef50_V0AX56, UniRef:UniRef90_A0A0J1R5T5
contig_1	959597	959992	+	GEGEGB_04630	15.4	5.1		RefSeq:WP_001000809.1, SO:0001217, UniParc:UPI000191032D, UniRef:UniRef100_A0A6N8MCK5, UniRef:UniRef50_A0A0J1NE92, UniRef:UniRef90_A0A0J1NE92
contig_1	960089	960382	-	GEGEGB_04635	11.7	7.8		RefSeq:WP_000129503.1, SO:0001217, UniParc:UPI00024C08FC, UniRef:UniRef100_A0A3U2R992, UniRef:UniRef50_V0AHZ9, UniRef:UniRef90_V0AHZ9
contig_1	965065	965574	+	GEGEGB_04650	20.3	9.9		RefSeq:WP_000444413.1, SO:0001217, UniParc:UPI00018872CD, UniRef:UniRef100_A0A9Q5XLN2, UniRef:UniRef50_A0A0J1NDW6, UniRef:UniRef90_A0A0J1NDW6
contig_1	968796	969110	+	GEGEGB_04670	12.3	7.7		RefSeq:WP_001019842.1, SO:0001217, UniParc:UPI0001910CEB, UniRef:UniRef100_A0A3Y0J0L8, UniRef:UniRef50_A0A3Y0J0L8, UniRef:UniRef90_A0A3Y0J0L8
contig_1	1103075	1103188	+	GEGEGB_05420	4.4	11.4		
contig_1	1198892	1199020	+	GEGEGB_05945	4.6	4.2		SO:0001217, UniParc:UPI0000059D71, UniRef:UniRef100_Q8Z6B1, UniRef:UniRef50_Q8Z6B1, UniRef:UniRef90_Q8Z6B1
contig_1	1279934	1280062	-	GEGEGB_06425	5.1	8.0		SO:0001217, UniRef:UniRef50_M7S6C2, UniRef:UniRef90_A0A8D5DVH7
contig_1	1413722	1413988	+	GEGEGB_07145	9.4	4.5		SO:0001217, UniRef:UniRef50_A0A376FN64, UniRef:UniRef90_A0A376FN64
contig_1	1438488	1438682	+	GEGEGB_07315	7.3	6.8		SO:0001217, UniParc:UPI0000059E66, UniRef:UniRef100_A0A2X1JUC2, UniRef:UniRef50_A0A376JCB0, UniRef:UniRef90_A0A376JCB0
contig_1	1440528	1440758	+	GEGEGB_07345	8.6	10.1		RefSeq:WP_000631816.1, SO:0001217, UniParc:UPI0000059E6C, UniRef:UniRef100_A0A7B6MR97, UniRef:UniRef50_A0A066SW74, UniRef:UniRef90_A0A2U9LLG2
contig_1	1513186	1513389	-	GEGEGB_07760	7.5	7.9		SO:0001217, UniParc:UPI000190E68D, UniRef:UniRef100_A0A3Y9LS76, UniRef:UniRef50_A0A3Y9LS76, UniRef:UniRef90_A0A3Y9LS76
contig_1	1514810	1515343	+	GEGEGB_07770	18.9	5.3		
contig_1	1595915	1596010	-	GEGEGB_08125	3.5	5.9		SO:0001217, UniParc:UPI00016040E5, UniRef:UniRef100_A0A455RUE4, UniRef:UniRef50_A0A379W8A9, UniRef:UniRef90_A0A379W8A9
contig_1	1658083	1658244	+	GEGEGB_08470	6.2	6.7		
contig_1	1660437	1660931	+	GEGEGB_08485	17.9	9.4		RefSeq:WP_000977502.1, SO:0001217, UniParc:UPI000190A9EC, UniRef:UniRef100_Q8Z7C0, UniRef:UniRef50_Q8Z7C0, UniRef:UniRef90_Q8Z7C0
contig_1	1685159	1685311	+	GEGEGB_08600	5.7	9.4		SO:0001217, UniParc:UPI0003E4CDB7, UniRef:UniRef100_A0A1X8WF07, UniRef:UniRef50_A0A5Z7IP03, UniRef:UniRef90_A0A1X8WF07, UniRef:UniRef90_A0A5Z7IP03
contig_1	1775663	1775788	+	GEGEGB_09035	4.4	4.7		SO:0001217, UniParc:UPI0002303174, UniRef:UniRef100_G5R1E5, UniRef:UniRef50_G5R1E5, UniRef:UniRef90_G5R1E5
contig_1	1898645	1898827	-	GEGEGB_09725	6.9	10.3		RefSeq:WP_000431187.1, SO:0001217, UniParc:UPI0001603FD6, UniRef:UniRef100_A0A9X7EH59, UniRef:UniRef50_A0A756LDJ2, UniRef:UniRef90_A0A9X7EH59
contig_1	1908733	1908873	+	GEGEGB_09790	5.3	6.0		SO:0001217, UniParc:UPI00016BE0B3, UniRef:UniRef100_A0A745HMG8, UniRef:UniRef50_A0A749FB01, UniRef:UniRef90_A0A749FB01
contig_1	2116993	2117175	-	GEGEGB_10830	6.9	10.3		RefSeq:WP_000431187.1, SO:0001217, UniParc:UPI0001603FD6, UniRef:UniRef100_A0A9X7EH59, UniRef:UniRef50_A0A756LDJ2, UniRef:UniRef90_A0A9X7EH59
contig_1	2125675	2125797	-	GEGEGB_10880	4.6	10.3		
contig_1	2147273	2149024	-	GEGEGB_11015	66.5	4.9	PF00560.37|LRR_1, PF12799.11|LRR_4, PF13516.10|LRR_6, PF13855.10|LRR_8, PF14496.10|NEL	PFAM:PF00560.37, PFAM:PF12799.11, PFAM:PF13516.10, PFAM:PF13855.10, PFAM:PF14496.10
contig_1	2198206	2198331	-	GEGEGB_11265	4.6	9.0		SO:0001217, UniRef:UniRef50_A0A0N1QZN9, UniRef:UniRef90_A0A0N1QZN9
contig_1	2212638	2213090	-	GEGEGB_11330	16.8	9.3		
contig_1	2240014	2240292	+	GEGEGB_11465	9.8	10.2	PF01276.24|OKR_DC_1	PFAM:PF01276.24
contig_1	2418240	2418344	-	GEGEGB_12385	3.9	6.7		SO:0001217, UniRef:UniRef50_A0A379SBK8, UniRef:UniRef90_A0A379SBK8
contig_1	2638512	2638817	-	GEGEGB_13485	10.4	6.5	PF09460.14|Saf-Nte_pilin	PFAM:PF09460.14, RefSeq:WP_001766340.1, SO:0001217, UniParc:UPI000190B892, UniRef:UniRef100_UPI000190B892, UniRef:UniRef50_UPI001FF055AD, UniRef:UniRef90_UPI001FF055AD
contig_1	2645055	2645732	-	GEGEGB_13525	26.4	6.6		RefSeq:WP_000875616.1, SO:0001217, UniParc:UPI000005A2A6, UniRef:UniRef100_A0A725K5E1, UniRef:UniRef50_A0A7D8INP9, UniRef:UniRef90_A0A7D8INP9
contig_1	2667256	2667396	-	GEGEGB_13625	4.7	4.4		
contig_1	2668319	2668417	-	GEGEGB_13640	3.5	6.7		SO:0001217, UniParc:UPI000005A2BA, UniRef:UniRef100_A0A1S0ZHP2, UniRef:UniRef50_A0A447P035, UniRef:UniRef90_A0A447P035
contig_1	2737011	2737832	-	GEGEGB_13950	30.7	6.3		RefSeq:WP_000868779.1, SO:0001217, UniParc:UPI0002925432, UniRef:UniRef100_A0A725GER5, UniRef:UniRef50_A0A2M8HB11, UniRef:UniRef90_A0A725GER5
contig_1	2746332	2746505	-	GEGEGB_14020	6.2	9.0		RefSeq:WP_000380485.1, SO:0001217, UniParc:UPI000190C5D0, UniRef:UniRef100_A0A725GBL7, UniRef:UniRef50_A0A725GBL7, UniRef:UniRef90_A0A725GBL7
contig_1	2785712	2785957	-	GEGEGB_14200	9.4	9.6		SO:0001217, UniRef:UniRef50_V7IPQ6, UniRef:UniRef90_V7IPQ6
contig_1	2918591	2918764	-	GEGEGB_14935	6.5	9.5		
contig_1	2976579	2976701	-	GEGEGB_15185	4.7	10.6		SO:0001217, UniRef:UniRef50_A0A379Q4Z4, UniRef:UniRef90_A0A379Q4Z4
contig_1	3012787	3012969	-	GEGEGB_15350	6.9	10.3		RefSeq:WP_000431187.1, SO:0001217, UniParc:UPI0001603FD6, UniRef:UniRef100_A0A9X7EH59, UniRef:UniRef50_A0A756LDJ2, UniRef:UniRef90_A0A9X7EH59
contig_1	3041823	3042026	-	GEGEGB_15530	7.4	9.7		RefSeq:WP_000184036.1, SO:0001217, UniParc:UPI000005A405, UniRef:UniRef100_A0A725GBU7, UniRef:UniRef50_Q6D4T0, UniRef:UniRef90_A0A658Y1N3
contig_1	3055832	3056023	-	GEGEGB_15610	6.7	4.1		SO:0001217, UniParc:UPI0005E1F762, UniRef:UniRef100_A0A725K3H0, UniRef:UniRef50_A0A3S4JYK6, UniRef:UniRef90_A0A418ZC25
contig_1	3118688	3118861	-	GEGEGB_15960	6.6	6.7		SO:0001217, UniRef:UniRef50_B5F5P3, UniRef:UniRef90_B5F5P3
contig_1	3177298	3177444	-	GEGEGB_16260	5.8	9.5		RefSeq:WP_001222143.1, SO:0001217, UniParc:UPI000190AA98, UniRef:UniRef100_A0A8G1BPC4, UniRef:UniRef50_A0A8G1BPC4, UniRef:UniRef90_A0A8G1BPC4
contig_1	3308478	3308579	-	GEGEGB_16945	3.7	6.5		SO:0001217, UniParc:UPI000169FC40, UniRef:UniRef100_A0A6C8GI00, UniRef:UniRef50_G5R666, UniRef:UniRef90_G5R666
contig_1	3489645	3489824	-	GEGEGB_17865	7.0	4.8		
contig_1	3561830	3561967	+	GEGEGB_18290	5.4	6.1		SO:0001217, UniRef:UniRef50_G5R6E9, UniRef:UniRef90_A0A447P2H3
contig_1	3604645	3604767	-	GEGEGB_18490	4.6	8.8		SO:0001217, UniParc:UPI00016A007E, UniRef:UniRef100_A0A379WH53, UniRef:UniRef50_A0A3S4GRD1, UniRef:UniRef90_A0A3S4GRD1
contig_1	3707036	3707281	+	GEGEGB_19010	8.8	8.2		SO:0001217, UniParc:UPI000191296A, UniRef:UniRef100_A0A725GA43, UniRef:UniRef50_Q8Z2S8, UniRef:UniRef90_Q8Z2S8
contig_1	3875607	3875849	+	GEGEGB_19860	9.2	10.5		
contig_1	4010867	4011268	+	GEGEGB_20525	13.9	10.3		
contig_1	4069352	4069492	-	GEGEGB_20775	5.6	8.8		
contig_1	4114989	4115114	-	GEGEGB_21015	4.7	11.0		SO:0001217, UniRef:UniRef50_A0A379UWE3
contig_1	4202127	4202351	+	GEGEGB_21390	8.1	5.4		SO:0001217, UniParc:UPI000005A7DC, UniRef:UniRef100_Q8Z1Y9, UniRef:UniRef50_Q8Z1Y9, UniRef:UniRef90_Q8Z1Y9
contig_1	4399665	4399760	+	GEGEGB_22350	3.3	4.1		SO:0001217, UniRef:UniRef50_A0A655E8N3, UniRef:UniRef90_A0A655E8N3
contig_1	4405442	4405618	+	GEGEGB_22380	6.4	5.1		SO:0001217, UniParc:UPI0005DD9771, UniRef:UniRef100_A0A655EK15, UniRef:UniRef50_A0A655EK15, UniRef:UniRef90_A0A655EK15
contig_1	4419787	4420038	+	GEGEGB_22475	9.3	9.3		SO:0001217, UniRef:UniRef50_UPI001C9A790D, UniRef:UniRef90_UPI001C9A790D
contig_1	4437566	4437952	+	GEGEGB_22580	14.5	6.6		RefSeq:WP_000054770.1, SO:0001217, UniParc:UPI000005A8AB, UniRef:UniRef100_A0A3Z3HVH5, UniRef:UniRef50_A0A6W0BRM3, UniRef:UniRef90_A0A6W0BRM3
contig_1	4440906	4441238	+	GEGEGB_22600	13.0	10.0		RefSeq:WP_000175255.1, SO:0001217, UniParc:UPI000005A8AF, UniRef:UniRef100_A0A725VJR0, UniRef:UniRef50_A0A7G9Q066, UniRef:UniRef90_A0A7G9Q066
contig_1	4448920	4449300	+	GEGEGB_22650	14.2	4.2		RefSeq:WP_001103837.1, SO:0001217, UniParc:UPI000005A8B6, UniRef:UniRef100_A0A3Y0J689, UniRef:UniRef50_A0A3Y0J689, UniRef:UniRef90_A0A3Y0J689
contig_1	4449671	4449880	+	GEGEGB_22655	7.9	8.8		RefSeq:WP_000018145.1, SO:0001217, UniParc:UPI000190B3CC, UniRef:UniRef100_A0A3U7XMW5, UniRef:UniRef50_G5QPK0, UniRef:UniRef90_G5QPK0
contig_1	4449898	4450350	+	GEGEGB_22660	17.6	10.1		RefSeq:WP_000979718.1, SO:0001217, UniParc:UPI000190B3CD, UniRef:UniRef100_Q8Z1H7, UniRef:UniRef50_Q8Z1H7, UniRef:UniRef90_Q8Z1H7
contig_1	4450350	4450643	+	GEGEGB_22665	11.0	4.5		SO:0001217, UniRef:UniRef50_C0Q668, UniRef:UniRef90_C0Q668
contig_1	4453289	4454197	+	GEGEGB_22680	35.2	4.9		RefSeq:WP_000881183.1, SO:0001217, UniParc:UPI000005A8BB, UniRef:UniRef100_A0A3U8Y1Y1, UniRef:UniRef50_A0A2S4QDS7, UniRef:UniRef90_A0A3Z3Q6P9
