# Annotated with Bakta
# Software: v1.8.2
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	sorf	169	255	+	GEGEGB_00005	thrL	thr operon leader peptide	GO:0009088, GO:0031556, SO:0001217, UniParc:UPI0001B97032, UniRef:UniRef100_Q57TQ4, UniRef:UniRef50_Q57TQ4, UniRef:UniRef90_Q57TQ4
contig_1	ncRNA-region	191	311	+			Threonine operon leader	RFAM:RF00506, SO:0000140
contig_1	cds	337	2799	+	GEGEGB_00010	thrA	bifunctional aspartate kinase/homoserine dehydrogenase I	COG:COG0527, COG:E, EC:1.1.1.3, EC:2.7.2.4, GO:0004072, GO:0004412, GO:0005524, GO:0008652, GO:0009067, GO:0009088, GO:0009089, GO:0009090, GO:0016310, GO:0042802, GO:0050661, GO:0051289, RefSeq:WP_001264731.1, SO:0001217, UniParc:UPI0000059963, UniRef:UniRef100_A0A3Z0J8I1, UniRef:UniRef50_P00561, UniRef:UniRef90_P00561
contig_1	cds	2801	3730	+	GEGEGB_00015	thrB	homoserine kinase	COG:COG0083, COG:E, EC:2.7.1.39, GO:0004413, GO:0005524, GO:0005737, GO:0009088, GO:0016310, RefSeq:WP_000241685.1, SO:0001217, UniParc:UPI0000059964, UniRef:UniRef100_B5F6C2, UniRef:UniRef50_Q6D0A9, UniRef:UniRef90_Q8XA82
contig_1	cds	3734	5020	+	GEGEGB_00020	thrC	threonine synthase	COG:COG0498, COG:E, EC:4.2.3.1, GO:0004795, GO:0005829, GO:0009088, GO:0030170, RefSeq:WP_000781103.1, SO:0001217, UniParc:UPI0000059965, UniRef:UniRef100_A0A725G067, UniRef:UniRef50_P00934, UniRef:UniRef90_P00934
contig_1	cds	5114	5887	-	GEGEGB_00025	yaaA	peroxide stress protein YaaA	COG:COG3022, COG:L, GO:0005829, GO:0033194, RefSeq:WP_000906171.1, SO:0001217, UniParc:UPI0000059966, UniRef:UniRef100_Q8Z9R5, UniRef:UniRef50_P43908, UniRef:UniRef90_Q8Z9R5
contig_1	cds	5966	7396	-	GEGEGB_00030	alsT	Na+/alanine symporter	COG:COG1115, COG:E, RefSeq:WP_001113816.1, SO:0001217, UniParc:UPI0000059967, UniRef:UniRef100_A0A725JT77, UniRef:UniRef50_P30143, UniRef:UniRef90_A9MR83
contig_1	cds	7665	8618	+	GEGEGB_00035	tal	transaldolase B	BlastRules:WP_000130175, COG:COG0176, COG:G, EC:2.2.1.2, GO:0004801, GO:0005829, GO:0005975, GO:0006098, RefSeq:WP_000130175.1, SO:0001217, UniParc:UPI0000059968, UniRef:UniRef100_Q57TP8, UniRef:UniRef50_Q57TP8, UniRef:UniRef90_Q57TP8
contig_1	cds	8729	9319	+	GEGEGB_00040	mog	molybdopterin adenylyltransferase	EC:2.7.7.75, GO:0006777, RefSeq:WP_001094677.1, SO:0001217, UniParc:UPI0000059969, UniRef:UniRef100_A0A725G9S9, UniRef:UniRef50_P44645, UniRef:UniRef90_A0A0F5B902
contig_1	cds	9376	9942	-	GEGEGB_00045	satP	acetate uptake transporter	COG:C, COG:COG1584, GO:0016020, RefSeq:WP_000528527.1, SO:0001217, UniParc:UPI000005996A, UniRef:UniRef100_A0A3Z3I0J5, UniRef:UniRef50_S6CYC6, UniRef:UniRef90_A0A0L0AFE2
contig_1	cds	10092	10805	-	GEGEGB_00050	msyB	acidic protein MsyB	COG:COG4735, COG:S, RefSeq:WP_001103477.1, SO:0001217, UniParc:UPI000005996B, UniRef:UniRef100_A0A8E7D3S5, UniRef:UniRef50_P58316, UniRef:UniRef90_A0A4Z0NX17
contig_1	cds	10841	11245	-	GEGEGB_00055	yaaI	DUF2541 domain-containing protein	RefSeq:WP_001258093.1, SO:0001217, UniParc:UPI000005996C, UniRef:UniRef100_Q5PDM9, UniRef:UniRef50_Q8ZS14, UniRef:UniRef90_Q8ZS14
contig_1	cds	11594	13510	+	GEGEGB_00060	dnaK	molecular chaperone DnaK	COG:COG0443, COG:O, GO:0005524, GO:0006457, GO:0016887, GO:0051082, GO:0140662, RefSeq:WP_000516126.1, SO:0001217, UniParc:UPI000005996D, UniRef:UniRef100_B5F6Y8, UniRef:UniRef50_Q5ZTY3, UniRef:UniRef90_A8ALU3
