#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_2	11908	12045	-	ODDLKH_00080	5.4	6.1		SO:0001217, UniParc:UPI00016A1850, UniRef:UniRef100_A0A6C8GV10, UniRef:UniRef50_A0A0T9RRV5, UniRef:UniRef50_A0A447N043, UniRef:UniRef90_A0A447N043, UniRef:UniRef90_A0A6C8GV10
contig_2	60460	60582	+	ODDLKH_00310	4.2	9.2		SO:0001217, UniParc:UPI000169ECF5, UniRef:UniRef100_A0A455RZ21, UniRef:UniRef50_B5F1L8, UniRef:UniRef90_B5F1L8
contig_2	208099	208197	+	ODDLKH_00935	3.4	8.3		SO:0001217, UniParc:UPI000169F957, UniRef:UniRef100_A0A379V0D2, UniRef:UniRef50_A0A2X5BUJ5, UniRef:UniRef90_A0A2X5BUJ5
contig_2	209356	209502	+	ODDLKH_00950	5.3	5.9		RefSeq:WP_001112367.1, SO:0001217, UniParc:UPI000169F95A, UniRef:UniRef100_A0A755SYN3, UniRef:UniRef50_H9AC98, UniRef:UniRef90_H9AC98
contig_2	303632	303856	-	ODDLKH_01440	8.6	6.7		SO:0001217, UniParc:UPI000169F267, UniRef:UniRef100_A0A6C8G0V7, UniRef:UniRef50_A0A379X1N3, UniRef:UniRef90_A0A6C8G0V7
contig_2	393813	394067	+	ODDLKH_01835	9.7	9.4		SO:0001217, UniRef:UniRef50_A0A447TNM1, UniRef:UniRef90_A0A447PV07
contig_2	394292	394585	+	ODDLKH_01845	11.7	11.5		RefSeq:WP_024133218.1, SO:0001217, UniParc:UPI000169FB31, UniRef:UniRef100_A0A3U0BXG4, UniRef:UniRef50_A0A3J2F053, UniRef:UniRef90_A0A3U6NND4
contig_2	396509	396616	-	ODDLKH_01860	4.1	9.7		SO:0001217, UniParc:UPI0005D84673, UniRef:UniRef100_A0A455RY24, UniRef:UniRef50_A0A376VJM4, UniRef:UniRef90_A0A379QRN7
contig_2	487499	487606	+	ODDLKH_02315	4.2	5.4		SO:0001217, UniParc:UPI0003E45E31, UniRef:UniRef100_A0A8D4XY29, UniRef:UniRef50_A0A2X4TXI3, UniRef:UniRef90_A0A2X5BPJ9
contig_2	553614	553823	+	ODDLKH_02605	7.8	6.4		SO:0001217, UniParc:UPI0003E4EAFA, UniRef:UniRef100_A0A8D4Z1X2, UniRef:UniRef50_A0A3S5DPZ4, UniRef:UniRef90_E3GA15
contig_2	840335	840493	+	ODDLKH_03930	6.0	9.2		SO:0001217, UniParc:UPI00017A8B92, UniRef:UniRef100_A0A8D4YI65, UniRef:UniRef50_A0A379NPS0, UniRef:UniRef90_A0A379VW97
contig_2	869612	869914	+	ODDLKH_04065	11.4	9.1		SO:0001217, UniParc:UPI0002EFD4C1, UniRef:UniRef100_A0A455S6E5, UniRef:UniRef50_A0A455S6E5, UniRef:UniRef90_A0A455S6E5
contig_2	1068468	1068572	+	ODDLKH_04995	3.8	8.5		SO:0001217, UniParc:UPI000169F61A, UniRef:UniRef100_A0A1X8WAK3, UniRef:UniRef50_A0A379SBK8, UniRef:UniRef90_A0A379SBK8
contig_2	1113495	1113653	+	ODDLKH_05230	5.6	6.7		SO:0001217, UniParc:UPI0001604591, UniRef:UniRef100_A0A455RWW1, UniRef:UniRef50_A0A455RWW1, UniRef:UniRef90_A0A455RWW1
contig_2	1186656	1186754	+	ODDLKH_05580	3.8	5.3		SO:0001217, UniParc:UPI00065C2C17, UniRef:UniRef100_A0A379VU92, UniRef:UniRef50_A0A379VU92, UniRef:UniRef90_A0A379VU92
contig_2	1306872	1306997	+	ODDLKH_06165	4.6	9.0		SO:0001217, UniParc:UPI0001603F11, UniRef:UniRef100_A0A659JTK8, UniRef:UniRef50_A0A659JTK8, UniRef:UniRef90_A0A659JTK8
contig_2	1683425	1683649	+	ODDLKH_07975	8.4	4.5		RefSeq:WP_000528430.1, SO:0001217, UniParc:UPI00016A06C1, UniRef:UniRef100_A0A8E7D317, UniRef:UniRef50_G5NAS5, UniRef:UniRef90_A0A3Y8YRC0
contig_2	1776108	1776350	+	ODDLKH_08515	8.6	9.6		RefSeq:WP_000178851.1, SO:0001217, UniParc:UPI00016C14B5, UniRef:UniRef100_A0A3V2EBZ2, UniRef:UniRef50_A0A379WV70, UniRef:UniRef90_A0A379WV70
contig_2	1780239	1780397	-	ODDLKH_08535	5.8	10.0		SO:0001217, UniParc:UPI00016A06A8, UniRef:UniRef100_A0A8E6I4I8, UniRef:UniRef50_A0A379UQZ1, UniRef:UniRef90_A0A379UQZ1
contig_2	1787552	1787755	-	ODDLKH_08575	7.9	9.2		RefSeq:WP_000787622.1, SO:0001217, UniParc:UPI00016A06A0, UniRef:UniRef100_A0A719CTS5, UniRef:UniRef50_V7IU88, UniRef:UniRef90_A0A447JGW4
contig_2	1871382	1871510	-	ODDLKH_09050	5.1	6.7		SO:0001217, UniParc:UPI0001604056, UniRef:UniRef100_A0A8D5DVH7, UniRef:UniRef50_M7S6C2, UniRef:UniRef90_A0A8D5DVH7
contig_2	1918909	1919124	+	ODDLKH_09285	8.0	8.6		SO:0001217, UniParc:UPI00017A8D12, UniRef:UniRef100_A0A6C8ETM9, UniRef:UniRef50_A0A1X8WFN2, UniRef:UniRef90_A0A1X8WFN2
contig_2	1955584	1955751	+	ODDLKH_09480	6.5	10.7		SO:0001217, UniParc:UPI000E078A2B, UniRef:UniRef100_A0A379WUF0, UniRef:UniRef50_A0A379WUF0, UniRef:UniRef90_A0A379WUF0
contig_2	2074947	2075099	-	ODDLKH_10120	5.9	9.7		SO:0001217, UniParc:UPI000169E9A2, UniRef:UniRef100_A0A455SD02, UniRef:UniRef50_B5F5Z7, UniRef:UniRef90_A0A6C8GNM8
contig_2	2089841	2090050	-	ODDLKH_10205	7.5	8.8		SO:0001217, UniParc:UPI00017C102B, UniRef:UniRef100_A0A8D4ZJ46, UniRef:UniRef50_A0A5U9UAM4, UniRef:UniRef90_A0A5U9UAM4
contig_2	2188344	2188439	-	ODDLKH_10630	3.5	5.9		SO:0001217, UniParc:UPI00016040E5, UniRef:UniRef100_A0A455RUE4, UniRef:UniRef50_A0A379W8A9, UniRef:UniRef90_A0A379W8A9
contig_2	2421712	2421834	-	ODDLKH_11780	4.6	6.7		SO:0001217, UniParc:UPI00016C138F, UniRef:UniRef100_A0A5U7IQZ6, UniRef:UniRef50_A0A3S4FSA5, UniRef:UniRef90_A0A3S4FSA5
contig_2	2422435	2422593	+	ODDLKH_11785	5.7	9.7		SO:0001217, UniParc:UPI000169F439, UniRef:UniRef100_A0A455S6H5, UniRef:UniRef50_A0A379UQZ1, UniRef:UniRef90_A0A379UQZ1
contig_2	2471453	2471647	+	ODDLKH_12055	6.8	8.1		SO:0001217, UniParc:UPI0003482B49, UniRef:UniRef100_A0A379US83, UniRef:UniRef50_A0A3S4FJE3, UniRef:UniRef90_A0A3S4FJE3
contig_2	2799915	2800016	-	ODDLKH_13725	3.7	4.4		SO:0001217, UniParc:UPI0005D83C6C, UniRef:UniRef100_A0A8D4ZS80, UniRef:UniRef50_A0A8D4ZS80, UniRef:UniRef90_A0A8D4ZS80
