# Annotated with Bakta
# Software: v1.8.2
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	ncRNA	22	130	+	ODDLKH_00005	StyR-44	Salmonella enterica Typhi npcRNA 44	RFAM:RF01830, SO:0000655
contig_1	rRNA	138	3129	+	ODDLKH_00010	rrl	23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
contig_1	rRNA	3326	3441	+	ODDLKH_00015	rrf	5S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01985, RFAM:RF00001, SO:0000652
contig_1	cds	3623	4651	+	ODDLKH_00020		UDP-N-acetylenolpyruvoylglucosamine reductase	RefSeq:WP_000149795.1, SO:0001217, UniParc:UPI000003764F, UniRef:UniRef100_P37417, UniRef:UniRef90_P37417
contig_1	cds	4648	5610	+	ODDLKH_00025	birA	bifunctional biotin--[acetyl-CoA-carboxylase] ligase/biotin operon repressor BirA	COG:COG1654, COG:K, EC:6.3.4.15, GO:0003677, GO:0004077, GO:0005524, GO:0005737, GO:0006355, GO:0036211, KEGG:K03524, RefSeq:WP_000655752.1, SO:0001217, UniParc:UPI00001269A9, UniRef:UniRef100_P37416, UniRef:UniRef50_P06709, UniRef:UniRef90_P37416
contig_1	cds	5645	6571	-	ODDLKH_00030	coaA	type I pantothenate kinase	COG:COG1072, COG:H, EC:2.7.1.33, GO:0004594, GO:0005524, GO:0005737, GO:0015937, GO:0016310, SO:0001217, UniParc:UPI00016A08E4, UniRef:UniRef100_Q57H79, UniRef:UniRef50_Q89WM2, UniRef:UniRef90_A8AKV0
contig_2	cds	109	537	+	ODDLKH_00035	rplK	50S ribosomal protein L11	COG:COG0080, COG:J, GO:0000315, GO:0003735, GO:0005840, GO:0006412, GO:0022625, GO:0070180, GO:1990904, RefSeq:WP_001085926.1, SO:0001217, UniParc:UPI000005A5E3, UniRef:UniRef100_A7ZUJ6, UniRef:UniRef50_P09763, UniRef:UniRef90_P09763
contig_2	cds	541	1245	+	ODDLKH_00040	rplA	50S ribosomal protein L1	COG:COG0081, COG:J, GO:0000049, GO:0000311, GO:0003735, GO:0006412, GO:0006417, GO:0015934, GO:0019843, GO:0022625, RefSeq:WP_001096676.1, SO:0001217, UniParc:UPI000005A5E2, UniRef:UniRef100_B5F0W4, UniRef:UniRef50_P10054, UniRef:UniRef90_A1JIH7
contig_2	cds	1665	2162	+	ODDLKH_00045	rplJ	50S ribosomal protein L10	GO:0003735, GO:0006412, GO:0015934, GO:0070180, RefSeq:WP_001207203.1, SO:0001217, UniParc:UPI000005A5E1, UniRef:UniRef100_B5XYF7, UniRef:UniRef50_B5XYF7, UniRef:UniRef90_B5XYF7
contig_2	cds	2229	2594	+	ODDLKH_00050	rplL	50S ribosomal protein L7/L12	COG:COG0222, COG:J, GO:0000315, GO:0003735, GO:0005840, GO:0006412, GO:0022625, GO:1990904, RefSeq:WP_000028882.1, SO:0001217, UniParc:UPI000005A5E0, UniRef:UniRef100_B5F0W6, UniRef:UniRef50_Q3YUZ8, UniRef:UniRef90_Q3YUZ8
contig_2	ncRNA	2599	2660	+	ODDLKH_00055	P26	Pseudomonas sRNA P26	RFAM:RF00630, SO:0000655
contig_2	cds	2912	6940	+	ODDLKH_00060	rpoB	DNA-directed RNA polymerase subunit beta	COG:COG0085, COG:K, EC:2.7.7.6, GO:0000345, GO:0000428, GO:0003677, GO:0003899, GO:0006351, GO:0032549, RefSeq:WP_000263105.1, SO:0001217, UniParc:UPI000005A5DF, UniRef:UniRef100_B5F0W7, UniRef:UniRef50_P06173, UniRef:UniRef90_P06173
contig_2	cds	7017	11240	+	ODDLKH_00065	rpoC	DNA-directed RNA polymerase subunit beta'	COG:COG0086, COG:K, EC:2.7.7.6, GO:0000287, GO:0000345, GO:0000428, GO:0003677, GO:0003899, GO:0006351, GO:0008270, RefSeq:WP_000653965.1, SO:0001217, UniParc:UPI000005A5DE, UniRef:UniRef100_Q57H68, UniRef:UniRef50_A5F3P6, UniRef:UniRef90_A7ZUK2
contig_2	cds	11327	11608	+	ODDLKH_00070		Inner membrane protein	RefSeq:WP_001110917.1, SO:0001217, UniParc:UPI0001604919, UniRef:UniRef100_A0A5W3W760, UniRef:UniRef50_A0A3V7C341, UniRef:UniRef90_A0A3V7C341
contig_2	cds	11610	11954	-	ODDLKH_00075		Cytoplasmic protein	RefSeq:WP_001627468.1, SO:0001217, UniParc:UPI00016A0B98, UniRef:UniRef100_A0A5X5AH59, UniRef:UniRef50_A0A6C7I615, UniRef:UniRef90_A0A3V3WGU6
contig_2	cds	11908	12045	-	ODDLKH_00080		(pseudo) hypothetical protein	SO:0001217, UniParc:UPI00016A1850, UniRef:UniRef100_A0A6C8GV10, UniRef:UniRef50_A0A0T9RRV5, UniRef:UniRef50_A0A447N043, UniRef:UniRef90_A0A447N043, UniRef:UniRef90_A0A6C8GV10
contig_2	cds	12703	13836	-	ODDLKH_00085	thiH	2-iminoacetate synthase ThiH	COG:COG1060, COG:H, EC:4.1.99.19, GO:0005506, GO:0009228, GO:0009229, GO:0016829, GO:0036355, GO:0051539, GO:1904047, RefSeq:WP_000847483.1, SO:0001217, UniParc:UPI00016A1851, UniRef:UniRef100_A0A630P322, UniRef:UniRef50_Q9S498, UniRef:UniRef90_Q9S498
contig_2	cds	13833	14603	-	ODDLKH_00090	thiG	thiazole synthase	BlastRules:WP_000944065, BlastRules:WP_000944073, COG:COG2022, COG:H, EC:2.8.1.10, GO:0005737, GO:0009229, GO:1990107, RefSeq:WP_000944072.1, SO:0001217, UniParc:UPI00016A1852, UniRef:UniRef100_A0A5U3PVG1, UniRef:UniRef50_A8LFH1, UniRef:UniRef90_Q57H64
