#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	52319	52528	+	AJBGEP_00225	7.8	6.4		SO:0001217, UniParc:UPI0003E4EAFA, UniRef:UniRef100_A0A8D4Z1X2, UniRef:UniRef50_A0A3S5DPZ4, UniRef:UniRef90_E3GA15
contig_1	337324	337587	+	AJBGEP_01535	10.5	4.4		RefSeq:WP_000932531.1, SO:0001217, UniParc:UPI00016A190A, UniRef:UniRef100_A0A3V2I837, UniRef:UniRef50_A0A0F1A9E0, UniRef:UniRef90_A0A3V2I837
contig_1	339288	339425	-	AJBGEP_01550	5.9	8.2		SO:0001217, UniParc:UPI0005D79AF1, UniRef:UniRef100_A0A8D5IF77, UniRef:UniRef50_A0A8D5IF77, UniRef:UniRef90_A0A8D5IF77
contig_1	341030	341188	+	AJBGEP_01575	6.0	9.2		SO:0001217, UniParc:UPI00017A8B92, UniRef:UniRef100_A0A8D4YI65, UniRef:UniRef50_A0A379NPS0, UniRef:UniRef90_A0A379VW97
contig_1	370356	370658	+	AJBGEP_01720	11.4	9.1		SO:0001217, UniParc:UPI0002EFD4C1, UniRef:UniRef100_A0A455S6E5, UniRef:UniRef50_A0A455S6E5, UniRef:UniRef90_A0A455S6E5
contig_1	570227	570331	+	AJBGEP_02655	3.8	6.7		SO:0001217, UniParc:UPI0001604710, UniRef:UniRef100_A0A455S8Y3, UniRef:UniRef50_A0A379SBK8, UniRef:UniRef90_A0A379SBK8
contig_1	615283	615441	+	AJBGEP_02895	5.6	6.7		SO:0001217, UniParc:UPI0001604591, UniRef:UniRef100_A0A455RWW1, UniRef:UniRef50_A0A455RWW1, UniRef:UniRef90_A0A455RWW1
contig_1	808472	808597	+	AJBGEP_03820	4.6	9.0		SO:0001217, UniParc:UPI00016A216E, UniRef:UniRef100_A0A455RYG7, UniRef:UniRef50_A0A0N1QZN9, UniRef:UniRef90_A0A0N1QZN9
contig_1	874485	874667	+	AJBGEP_04160	6.9	10.3		RefSeq:WP_000431187.1, SO:0001217, UniParc:UPI0001603FD6, UniRef:UniRef100_A0A9X7EH59, UniRef:UniRef50_A0A756LDJ2, UniRef:UniRef90_A0A9X7EH59
contig_1	1094525	1094767	+	AJBGEP_05240	8.6	9.6		RefSeq:WP_000178849.1, SO:0001217, UniParc:UPI00004F7AB7, UniRef:UniRef100_A0A3W0RL75, UniRef:UniRef50_A0A379WV70, UniRef:UniRef90_A0A379WV70
contig_1	1232358	1232582	+	AJBGEP_05945	8.4	4.5		RefSeq:WP_000528430.1, SO:0001217, UniParc:UPI00016A06C1, UniRef:UniRef100_A0A8E7D317, UniRef:UniRef50_G5NAS5, UniRef:UniRef90_A0A3Y8YRC0
contig_1	1302108	1302326	+	AJBGEP_06370	7.9	6.9		RefSeq:WP_000690097.1, SO:0001217, UniParc:UPI00016C013A, UniRef:UniRef100_A0A3Y1DC41, UniRef:UniRef50_A0A0K4WRK5, UniRef:UniRef90_A0A3Y1DC41
contig_1	1304083	1304181	+	AJBGEP_06390	3.9	8.3		
contig_1	1312760	1312939	+	AJBGEP_06440	6.9	5.4		
contig_1	1321447	1322052	-	AJBGEP_06500	22.8	11.8		SO:0001217, UniParc:UPI0001BD0EB3, UniRef:UniRef100_A0A455S1S3, UniRef:UniRef50_A0A455S1S3, UniRef:UniRef90_A0A455S1S3
contig_1	1326207	1326449	+	AJBGEP_06515	8.6	9.6		RefSeq:WP_000178849.1, SO:0001217, UniParc:UPI00004F7AB7, UniRef:UniRef100_A0A3W0RL75, UniRef:UniRef50_A0A379WV70, UniRef:UniRef90_A0A379WV70
contig_1	1337639	1337842	-	AJBGEP_06575	7.9	9.2		RefSeq:WP_000787622.1, SO:0001217, UniParc:UPI00016A06A0, UniRef:UniRef100_A0A719CTS5, UniRef:UniRef50_V7IU88, UniRef:UniRef90_A0A447JGW4
contig_1	1421467	1421595	-	AJBGEP_07050	5.1	6.7		SO:0001217, UniParc:UPI0001604056, UniRef:UniRef100_A0A8D5DVH7, UniRef:UniRef50_M7S6C2, UniRef:UniRef90_A0A8D5DVH7
contig_1	1625009	1625161	-	AJBGEP_08115	5.9	9.7		SO:0001217, UniParc:UPI000169E9A2, UniRef:UniRef100_A0A455SD02, UniRef:UniRef50_B5F5Z7, UniRef:UniRef90_A0A6C8GNM8
contig_1	1639903	1640112	-	AJBGEP_08200	7.5	8.8		SO:0001217, UniParc:UPI00017C102B, UniRef:UniRef100_A0A8D4ZJ46, UniRef:UniRef50_A0A5U9UAM4, UniRef:UniRef90_A0A5U9UAM4
contig_1	1738404	1738499	-	AJBGEP_08625	3.5	5.9		SO:0001217, UniParc:UPI00016040E5, UniRef:UniRef100_A0A455RUE4, UniRef:UniRef50_A0A379W8A9, UniRef:UniRef90_A0A379W8A9
contig_1	1973190	1973312	-	AJBGEP_09795	4.6	6.7		SO:0001217, UniParc:UPI00016C138F, UniRef:UniRef100_A0A5U7IQZ6, UniRef:UniRef50_A0A3S4FSA5, UniRef:UniRef90_A0A3S4FSA5
contig_1	1973913	1974071	+	AJBGEP_09800	5.7	9.7		SO:0001217, UniParc:UPI000169F439, UniRef:UniRef100_A0A455S6H5, UniRef:UniRef50_A0A379UQZ1, UniRef:UniRef90_A0A379UQZ1
contig_1	2095348	2095497	-	AJBGEP_10515	5.5	6.0		SO:0001217, UniParc:UPI00016A0398, UniRef:UniRef100_A0A707T441, UniRef:UniRef50_A0A707T441, UniRef:UniRef90_A0A707T441
contig_1	2392337	2392438	-	AJBGEP_12045	3.7	4.4		SO:0001217, UniParc:UPI0005D83C6C, UniRef:UniRef100_A0A8D4ZS80, UniRef:UniRef50_A0A8D4ZS80, UniRef:UniRef90_A0A8D4ZS80
contig_1	2411310	2411441	+	AJBGEP_12155	4.9	9.7		SO:0001217, UniParc:UPI000169F98B, UniRef:UniRef100_A0A455RSC9, UniRef:UniRef50_A0A609LXB0, UniRef:UniRef90_A0A455RSC9
contig_1	2558585	2558680	+	AJBGEP_12835	3.7	6.0		SO:0001217, UniParc:UPI00024F1C1E, UniRef:UniRef100_A0A455S3T8, UniRef:UniRef50_A0A3S4H9S7, UniRef:UniRef90_A0A3S4H9S7
contig_1	2727575	2727754	+	AJBGEP_13575	6.5	10.6		SO:0001217, UniParc:UPI000408BED3, UniRef:UniRef100_A0A3T3EW42, UniRef:UniRef50_A0A379WNS0, UniRef:UniRef90_A0A379WNS0
contig_1	2788681	2788923	-	AJBGEP_13870	8.6	9.3		RefSeq:WP_000178853.1, SO:0001217, UniParc:UPI0001663A09, UniRef:UniRef100_A0A3U8PLF3, UniRef:UniRef50_A0A379WV70, UniRef:UniRef90_A0A379WV70
contig_1	2793078	2793683	+	AJBGEP_13885	22.8	11.8		SO:0001217, UniParc:UPI0001BD0EB3, UniRef:UniRef100_A0A455S1S3, UniRef:UniRef50_A0A455S1S3, UniRef:UniRef90_A0A455S1S3
contig_1	2802191	2802370	-	AJBGEP_13945	6.9	5.4		
contig_1	2957723	2957857	-	AJBGEP_14745	4.8	10.0		SO:0001217, UniParc:UPI000425F425, UniRef:UniRef100_A0A8D5DN88, UniRef:UniRef50_A0A2X5B4V3, UniRef:UniRef50_A0A379WNS4, UniRef:UniRef90_A0A379WNS4, UniRef:UniRef90_A0A5H7IL20
contig_1	3226954	3227145	-	AJBGEP_16115	6.6	4.1		SO:0001217, UniParc:UPI0005D7A2F8, UniRef:UniRef100_A0A5I5VA67, UniRef:UniRef50_A0A3S4JYK6, UniRef:UniRef90_A0A418ZC25
contig_1	3290734	3290961	-	AJBGEP_16440	8.2	5.9		
contig_1	3482355	3482456	-	AJBGEP_17400	3.7	6.5		SO:0001217, UniParc:UPI000169FC40, UniRef:UniRef100_A0A6C8GI00, UniRef:UniRef50_G5R666, UniRef:UniRef90_G5R666
contig_1	3568595	3568738	-	AJBGEP_17830	5.3	9.2		SO:0001217, UniParc:UPI00017F780E, UniRef:UniRef100_A0A8D5DXP7, UniRef:UniRef50_A0A8D5DXP7, UniRef:UniRef90_A0A8D5DXP7
contig_1	3598864	3599244	+	AJBGEP_18005	14.0	7.6		SO:0001217, UniParc:UPI0001603CD5, UniRef:UniRef100_A0A8D4YQT8, UniRef:UniRef50_A0A0H2VCZ3, UniRef:UniRef90_A0A0H2VCZ3
contig_1	3728906	3729031	+	AJBGEP_18670	4.6	11.0		SO:0001217, UniParc:UPI00016A00C2, UniRef:UniRef100_A0A455S0S9, UniRef:UniRef50_A0A379UWE3, UniRef:UniRef90_A0A447N2I2
contig_1	4066916	4067077	-	AJBGEP_20255	6.0	9.3		RefSeq:WP_152936421.1, SO:0001217, UniParc:UPI0005D9C553, UniRef:UniRef100_A0A455SGF8, UniRef:UniRef50_A0A455SGF8, UniRef:UniRef90_A0A455SGF8
contig_1	4078387	4078488	+	AJBGEP_20315	3.7	5.5		SO:0001217, UniParc:UPI0005D92894, UniRef:UniRef100_A0A455S9T1, UniRef:UniRef50_A0A3S4G6C1, UniRef:UniRef90_A0A3S4G6C1
contig_1	4388486	4388623	-	AJBGEP_21845	5.5	5.0		SO:0001217, UniParc:UPI00016A2184, UniRef:UniRef100_A0A455RZQ3, UniRef:UniRef50_A0A447N043, UniRef:UniRef90_A0A455RZQ3
contig_1	4670877	4671191	-	AJBGEP_23140	12.1	8.7		SO:0001217, UniParc:UPI00016A2162, UniRef:UniRef100_A0A3T3EQM6, UniRef:UniRef50_A0A3U8EHJ2, UniRef:UniRef90_A0A3U8EHJ2
contig_1	4673931	4674110	-	AJBGEP_23155	6.8	6.8		SO:0001217, UniParc:UPI00016A2163, UniRef:UniRef100_A0A719DB58, UniRef:UniRef50_A0A376DD51, UniRef:UniRef90_A0A3W0H394
contig_1	4765449	4765556	-	AJBGEP_23560	4.1	9.7		SO:0001217, UniParc:UPI0005D84673, UniRef:UniRef100_A0A455RY24, UniRef:UniRef50_A0A376VJM4, UniRef:UniRef90_A0A379QRN7
contig_1	4856468	4856575	+	AJBGEP_24020	4.2	5.4		SO:0001217, UniParc:UPI0003E45E31, UniRef:UniRef100_A0A8D4XY29, UniRef:UniRef50_A0A2X4TXI3, UniRef:UniRef90_A0A2X5BPJ9
contig_2	668	841	+	AJBGEP_24100	6.0	11.8		SO:0001217, UniParc:UPI0005991846, UniRef:UniRef100_A0A0B7J1Q6, UniRef:UniRef50_A0A0B7J1Q6, UniRef:UniRef90_A0A0B7J1Q6
contig_2	6534	6719	-	AJBGEP_24150	6.7	8.0		SO:0001217, UniParc:UPI0003167489, UniRef:UniRef100_A0A738QVW9, UniRef:UniRef50_A0A5J1GH55, UniRef:UniRef90_A0A738QVW9
contig_2	8423	8536	+	AJBGEP_24170	4.2	6.5		SO:0001217, UniParc:UPI0001812ADC, UniRef:UniRef100_A0A484WV28, UniRef:UniRef50_A0A484WV28, UniRef:UniRef90_A0A484WV28
contig_2	24238	24525	-	AJBGEP_24260	10.6	11.6		RefSeq:WP_071530243.1, SO:0001217, UniParc:UPI0004F62411, UniRef:UniRef100_A0A724WRM7, UniRef:UniRef50_A0A724WRM7, UniRef:UniRef90_A0A724WRM7
contig_2	32582	32713	+	AJBGEP_24315	4.9	7.9		SO:0001217, UniParc:UPI0001812A30, UniRef:UniRef100_E8XLJ5, UniRef:UniRef50_E8XLJ5, UniRef:UniRef90_E8XLJ5
contig_2	43535	43675	+	AJBGEP_24375	5.0	6.5		SO:0001217, UniParc:UPI0003E56209, UniRef:UniRef100_A0A0B7J200, UniRef:UniRef50_A0A0B7J200, UniRef:UniRef90_A0A0B7J200
contig_2	58713	58871	+	AJBGEP_24475	5.7	6.5		RefSeq:WP_001704449.1, SO:0001217, UniParc:UPI00024BBDB0, UniRef:UniRef100_A0A753KBH5, UniRef:UniRef50_A0A315FYW9, UniRef:UniRef90_A0A753KBH5
