# Annotated with Bakta
# Software: v1.8.2
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	249	617	+	PKJKAM_00005		hypothetical protein	
contig_2	cds	256	774	+	PKJKAM_00010		hypothetical protein	RefSeq:WP_000116157.1, SO:0001217, UniParc:UPI00016C1835, UniRef:UniRef100_UPI002118C338, UniRef:UniRef50_A0A376JUL7, UniRef:UniRef90_A0A8T3UQF6
contig_4	cds	29	424	+	PKJKAM_00015		nucleoside triphosphate pyrophosphatase	EC:3.6.1.-, KEGG:K25422, SO:0001217, UniRef:UniRef50_A0A376ZX82, UniRef:UniRef90_UPI001119CA88
contig_4	cds	496	720	-	PKJKAM_00020		hypothetical protein	RefSeq:WP_000528431.1, SO:0001217, UniParc:UPI00016C1834, UniRef:UniRef100_A0A5Z2TPJ8, UniRef:UniRef50_G5NAS5, UniRef:UniRef90_G5NAS5
contig_5	rRNA	1	1033	-	PKJKAM_00025	rrl	(partial) 23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
contig_6	rRNA	1	1042	+	PKJKAM_00030	rrl	(partial) 23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
contig_7	tRNA	321	397	-	PKJKAM_00035	trnR	tRNA-Arg(tct)	SO:0001036
contig_7	cds	460	855	-	PKJKAM_00040		hypothetical protein	SO:0001217, UniParc:UPI000230A96B, UniRef:UniRef100_G5LKF9, UniRef:UniRef50_G5LKF9, UniRef:UniRef90_G5LKF9
contig_8	rRNA	12	127	-	PKJKAM_00045	rrf	5S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01985, RFAM:RF00001, SO:0000652
contig_8	rRNA	221	1158	-	PKJKAM_00050	rrl	(partial) 23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
contig_9	rRNA	1	1170	+	PKJKAM_00055	rrl	(partial) 23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
contig_10	rRNA	1	928	+	PKJKAM_00060	rrl	(partial) 23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
contig_10	rRNA	1125	1240	+	PKJKAM_00065	rrf	5S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01985, RFAM:RF00001, SO:0000652
contig_11	cds	526	879	+	PKJKAM_00070		hypothetical protein	SO:0001217, UniParc:UPI0003FDCBCC, UniRef:UniRef100_A0A447JQS0, UniRef:UniRef50_G5QXK3, UniRef:UniRef90_G5QXK3
contig_11	cds	813	1214	-	PKJKAM_00075	tnp	IS3 family ISSen1 transposase ORF A	GO:0004803, IS:ISSen1, RefSeq:WP_000988123.1, SO:0001217, UniParc:UPI00000CCFBB, UniRef:UniRef100_A0A701JWJ2, UniRef:UniRef50_A0A2S9N454, UniRef:UniRef90_B5F494
contig_12	cds	343	780	-	PKJKAM_00080	yjaB	acetyltransferase	COG:COG0456, COG:J, EC:2.3.1.-, GO:0008080, GO:0061733, RefSeq:WP_000973248.1, SO:0001217, UniParc:UPI000048F269, UniRef:UniRef100_A0A6C8G021, UniRef:UniRef50_P09163, UniRef:UniRef90_P40677
contig_13	cds	916	1089	-	PKJKAM_00085	rpmF	50S ribosomal protein L32	COG:COG0333, COG:J, GO:0000315, GO:0003735, GO:0006412, GO:0015934, GO:0022625, RefSeq:WP_000290727.1, SO:0001217, UniParc:UPI0000059FA0, UniRef:UniRef100_B7UPA5, UniRef:UniRef50_Q87N18, UniRef:UniRef90_B4ETC5
contig_14	rRNA	1	1416	+	PKJKAM_00090	rrl	(partial) 23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
contig_15	rRNA	1	1504	+	PKJKAM_00095	rrl	(partial) 23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
contig_16	cds	159	629	+	PKJKAM_00100		aldehyde dehydrogenase family protein	SO:0001217, UniRef:UniRef50_A0A379D2J1, UniRef:UniRef90_UPI0011BA7C5E
contig_16	cds	876	1220	-	PKJKAM_00105		3,4-dihydroxyphenylacetate 2,3-dioxygenase	RefSeq:WP_000516979.1, SO:0001217, UniParc:UPI00016C16F0, UniRef:UniRef100_UPI00016C16F0, UniRef:UniRef50_A0A378C4B9, UniRef:UniRef90_UPI00016C16F0
contig_16	cds	1222	1485	-	PKJKAM_00110	hpaE	5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase	COG:COG1012, COG:I, EC:1.2.1.60, GO:0018480, GO:1901023, SO:0001217, UniParc:UPI0002FCD946, UniRef:UniRef100_A0A2V4G3X7, UniRef:UniRef50_P42269, UniRef:UniRef90_P42269
contig_17	rRNA	129	1669	+	PKJKAM_00115	rrs	16S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01977, RFAM:RF00177, SO:0001000
contig_18	cds	255	779	-	PKJKAM_00120		Arginine decarboxylase C-terminal helical domain-containing protein	SO:0001217, UniRef:UniRef50_A0A8S0FLU1, UniRef:UniRef90_A0A8S0FLU1
contig_18	cds	1198	1452	+	PKJKAM_00125		Lipopolysaccharide 1,2-N-acetylglucosaminetransferase	SO:0001217, UniParc:UPI0005DB6166, UniRef:UniRef100_A0A655CC94, UniRef:UniRef50_A0A655CC94, UniRef:UniRef90_A0A655CC94
contig_19	cds	131	676	-	PKJKAM_00130	nusG	transcription termination/antitermination protein NusG	COG:COG0250, COG:K, GO:0005829, GO:0006353, GO:0031564, GO:0032784, GO:0140673, RefSeq:WP_001287521.1, SO:0001217, UniParc:UPI000005A5E4, UniRef:UniRef100_P0AA01, UniRef:UniRef50_P0AFG1, UniRef:UniRef90_P0AFG1
contig_19	cds	678	1061	-	PKJKAM_00135	secE	preprotein translocase subunit SecE	COG:COG0690, COG:U, GO:0005886, GO:0006605, GO:0008320, GO:0009306, GO:0043952, GO:0065002, RefSeq:WP_001275691.1, SO:0001217, UniParc:UPI000005A5E5, UniRef:UniRef100_P0A2D4, UniRef:UniRef50_P0AG98, UniRef:UniRef90_P0AG98
contig_19	cds	1291	2022	-	PKJKAM_00140	tuf	elongation factor Tu	GO:0003746, GO:0006414, RefSeq:WP_023137556.1, SO:0001217, UniParc:UPI00016C16ED, UniRef:UniRef100_A0A3S4HHW6, UniRef:UniRef50_Q6FF97, UniRef:UniRef90_K8DDM8
contig_20	cds	62	814	-	PKJKAM_00145		Ash family protein	RefSeq:WP_023228759.1, SO:0001217, UniParc:UPI00016C16EA, UniRef:UniRef100_H8WF79, UniRef:UniRef50_H8WF79, UniRef:UniRef90_H8WF79
contig_20	ncRNA	813	942	+	PKJKAM_00150	EFASI	EFASI RNA	RFAM:RF02957, SO:0000655
contig_20	cds	1048	1686	+	PKJKAM_00155		DNA-binding protein	SO:0001217, UniRef:UniRef50_A0A5B9ALI5, UniRef:UniRef90_A0A379T0W0
contig_20	cds	1713	1934	+	PKJKAM_00160		integrase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A369FJG8, UniRef:UniRef90_UPI00139B5D10
contig_20	cds	2515	2943	-	PKJKAM_00165		Prophage integrase	SO:0001217, UniRef:UniRef50_A0A376CW48
contig_21	cds	149	583	-	PKJKAM_00170		Helix-turn-helix domain-containing protein	RefSeq:WP_000981510.1, SO:0001217, UniParc:UPI00016C16E7, UniRef:UniRef100_A0A3Y7T146, UniRef:UniRef50_A0A5U9SNJ8, UniRef:UniRef90_A0A3Y7T146
contig_21	cds	951	1271	+	PKJKAM_00175		Regulatory protein CII	RefSeq:WP_000426364.1, SO:0001217, UniParc:UPI00016639FE, UniRef:UniRef100_A0A0H3NQ14, UniRef:UniRef50_A0A3Y4QUX7, UniRef:UniRef90_A0A0H3NQ14
contig_21	cds	1362	2339	+	PKJKAM_00180		Bacteriophage lambda Replication protein O N-terminal domain-containing protein	SO:0001217, UniParc:UPI00062CF44B, UniRef:UniRef100_A0A5X7W9D7, UniRef:UniRef50_A0A2T8T6H8, UniRef:UniRef90_A0A2T8T6H8
