# BUSCO version is: 6.0.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	NC_004631.1	3566859	3562636	-	1843.7	1176	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	NC_004631.1	3570964	3566936	-	1274.7	801	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	NC_004631.1	328621	332508	+	255.9	392	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	NC_004631.1	2812757	2810127	-	589.3	529	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	NC_004631.1	2152048	2150027	-	769.8	490	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	NC_004631.1	3713605	3711782	-	560.0	439	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	NC_004631.1	312191	313990	+	735.2	491	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	NC_004631.1	3790618	3792018	+	331.4	277	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	NC_004631.1	1687864	1685267	-	516.2	426	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	NC_004631.1	1064639	1066411	+	607.1	473	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	NC_004631.1	4568346	4569644	+	326.0	280	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	NC_004631.1	573839	575356	+	273.4	282	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	NC_004631.1	2026769	2025477	-	416.2	313	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	NC_004631.1	3299121	3297619	-	175.4	211	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	NC_004631.1	1377893	1379167	+	337.4	283	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	NC_004631.1	3759219	3760601	+	578.8	360	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	NC_004631.1	3080586	3079423	-	180.7	220	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	NC_004631.1	1284121	1285104	+	432.4	294	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	NC_004631.1	415601	417178	+	309.3	233	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	NC_004631.1	4768994	4770376	+	212.6	233	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	NC_004631.1	2931508	2930210	-	365.0	285	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	NC_004631.1	4229860	4230849	+	263.4	226	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	NC_004631.1	282474	280756	-	824.4	533	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Complete	NC_004631.1	788616	786583	-	200.5	301	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	NC_004631.1	2005572	2004889	-	286.6	206	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	NC_004631.1	3756737	3758278	+	641.7	407	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
