# Annotated with Bakta
# Software: v1.8.2
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	sorf	169	255	+	BEJGEH_00005	thrL	thr operon leader peptide	GO:0009088, GO:0031556, SO:0001217, UniParc:UPI0001B97032, UniRef:UniRef100_Q57TQ4, UniRef:UniRef50_Q57TQ4, UniRef:UniRef90_Q57TQ4
contig_1	ncRNA-region	191	311	+			Threonine operon leader	RFAM:RF00506, SO:0000140
contig_1	cds	337	2799	+	BEJGEH_00010	thrA	bifunctional aspartate kinase/homoserine dehydrogenase I	COG:COG0527, COG:E, EC:1.1.1.3, EC:2.7.2.4, GO:0004072, GO:0004412, GO:0005524, GO:0008652, GO:0009067, GO:0009088, GO:0009089, GO:0009090, GO:0016310, GO:0042802, GO:0050661, GO:0051289, RefSeq:WP_001264687.1, SO:0001217, UniParc:UPI00016BF366, UniRef:UniRef100_A0A3R0QVB4, UniRef:UniRef50_P00561, UniRef:UniRef90_P00561
contig_1	cds	2801	3730	+	BEJGEH_00015	thrB	homoserine kinase	COG:COG0083, COG:E, EC:2.7.1.39, GO:0004413, GO:0005524, GO:0005737, GO:0009088, GO:0016310, RefSeq:WP_000241685.1, SO:0001217, UniParc:UPI0000059964, UniRef:UniRef100_B5F6C2, UniRef:UniRef50_Q6D0A9, UniRef:UniRef90_Q8XA82
contig_1	cds	3734	5020	+	BEJGEH_00020	thrC	threonine synthase	COG:COG0498, COG:E, EC:4.2.3.1, GO:0004795, GO:0005829, GO:0009088, GO:0030170, RefSeq:WP_000781110.1, SO:0001217, UniParc:UPI00004F7803, UniRef:UniRef100_A0A603BV04, UniRef:UniRef50_P00934, UniRef:UniRef90_P00934
contig_1	cds	5113	5886	-	BEJGEH_00025	yaaA	peroxide stress protein YaaA	COG:COG3022, COG:L, GO:0005829, GO:0033194, RefSeq:WP_000906173.1, SO:0001217, UniParc:UPI00016BF367, UniRef:UniRef100_B5F6C4, UniRef:UniRef50_P43908, UniRef:UniRef90_Q8Z9R5
contig_1	cds	5965	7395	-	BEJGEH_00030	alsT	Na+/alanine symporter	COG:COG1115, COG:E, RefSeq:WP_001113807.1, SO:0001217, UniParc:UPI00016A05B3, UniRef:UniRef100_B5F6Y1, UniRef:UniRef50_P30143, UniRef:UniRef90_A9MR83
contig_1	cds	7664	8617	+	BEJGEH_00035	tal	transaldolase B	BlastRules:WP_000130175, COG:COG0176, COG:G, EC:2.2.1.2, GO:0004801, GO:0005829, GO:0005975, GO:0006098, RefSeq:WP_000130175.1, SO:0001217, UniParc:UPI0000059968, UniRef:UniRef100_Q57TP8, UniRef:UniRef50_Q57TP8, UniRef:UniRef90_Q57TP8
contig_1	cds	8728	9318	+	BEJGEH_00040	mog	molybdopterin adenylyltransferase	EC:2.7.7.75, GO:0006777, RefSeq:WP_000380373.1, SO:0001217, UniParc:UPI00004F7806, UniRef:UniRef100_A0A1S0ZEH0, UniRef:UniRef50_P44645, UniRef:UniRef90_A0A0F5B902
contig_1	cds	9375	9941	-	BEJGEH_00045	satP	acetate uptake transporter	COG:C, COG:COG1584, GO:0016020, RefSeq:WP_000528525.1, SO:0001217, UniParc:UPI0001604820, UniRef:UniRef100_A0A1S0ZDR3, UniRef:UniRef50_S6CYC6, UniRef:UniRef90_A0A0L0AFE2
contig_1	cds	10091	10804	-	BEJGEH_00050	msyB	acidic protein MsyB	COG:COG4735, COG:S, RefSeq:WP_001103477.1, SO:0001217, UniParc:UPI000005996B, UniRef:UniRef100_A0A8E7D3S5, UniRef:UniRef50_P58316, UniRef:UniRef90_A0A4Z0NX17
contig_1	cds	10840	11244	-	BEJGEH_00055	yaaI	DUF2541 domain-containing protein	RefSeq:WP_001258084.1, SO:0001217, UniParc:UPI000169E899, UniRef:UniRef100_B5F6Y6, UniRef:UniRef50_Q8ZS14, UniRef:UniRef90_Q8ZS14
contig_1	cds	11593	13509	+	BEJGEH_00060	dnaK	molecular chaperone DnaK	COG:COG0443, COG:O, GO:0005524, GO:0006457, GO:0016887, GO:0051082, GO:0140662, RefSeq:WP_000516126.1, SO:0001217, UniParc:UPI000005996D, UniRef:UniRef100_B5F6Y8, UniRef:UniRef50_Q5ZTY3, UniRef:UniRef90_A8ALU3
contig_1	ncRNA	13520	13594	+	BEJGEH_00065	tpke11	tpke11	RFAM:RF02031, SO:0000655
contig_1	cds	13595	14734	+	BEJGEH_00070	dnaJ	molecular chaperone DnaJ	COG:COG0484, COG:O, EC:1.8.4.-, GO:0005515, GO:0005524, GO:0005737, GO:0006260, GO:0006457, GO:0008270, GO:0009408, GO:0031072, GO:0051082, RefSeq:WP_001119009.1, SO:0001217, UniParc:UPI000005996E, UniRef:UniRef100_B5F6Y9, UniRef:UniRef50_Q0K758, UniRef:UniRef90_Q7UDU1
contig_1	cds	14681	14821	-	BEJGEH_00075		hypothetical protein	RefSeq:WP_186791146.1, SO:0001217, UniParc:UPI0003E4F726, UniRef:UniRef100_A0A2X5CBS9, UniRef:UniRef50_A0A2X5CBS9, UniRef:UniRef90_A0A2X5CBS9
contig_1	cds	15015	15962	+	BEJGEH_00080	lysR	DNA-binding transcriptional regulator, LysR family	COG:COG0583, COG:K, RefSeq:WP_000534911.1, SO:0001217, UniParc:UPI000169E89B, UniRef:UniRef100_G5LIG3, UniRef:UniRef50_A0A7H4N821, UniRef:UniRef90_A0A6C8WAW6
contig_1	cds	16089	16433	+	BEJGEH_00085		Bacteriophage protein	RefSeq:WP_000026889.1, SO:0001217, UniParc:UPI00000CCE06, UniRef:UniRef100_A0A5J0RTH7, UniRef:UniRef50_V5U4V2, UniRef:UniRef90_A0A2T8TH88
contig_1	cds	16494	17027	-	BEJGEH_00090	zliS	Lysozyme family protein	COG:COG3926, COG:R, RefSeq:WP_001068132.1, SO:0001217, UniParc:UPI00000CCE07, UniRef:UniRef100_A0A5I8UP66, UniRef:UniRef50_A0A2A7T3Q4, UniRef:UniRef90_A0A3V8HY04
