#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1877	2011	-	ONMMKP_00020	5.0	8.2		
contig_4	79361	79555	-	ONMMKP_00565	6.8	8.1		SO:0001217, UniParc:UPI0003482B49, UniRef:UniRef100_A0A379US83, UniRef:UniRef50_A0A3S4FJE3, UniRef:UniRef90_A0A3S4FJE3
contig_4	131898	132020	+	ONMMKP_00860	4.6	6.7		SO:0001217, UniParc:UPI00016C138F, UniRef:UniRef100_A0A5U7IQZ6, UniRef:UniRef50_A0A3S4FSA5, UniRef:UniRef90_A0A3S4FSA5
contig_4	155228	155335	+	ONMMKP_00975	4.2	9.6		SO:0001217, UniParc:UPI0001604483, UniRef:UniRef100_A0A455RYX3, UniRef:UniRef50_A0A455RYX3, UniRef:UniRef90_A0A455RYX3
contig_4	284123	284275	-	ONMMKP_01615	5.7	9.4		SO:0001217, UniRef:UniRef50_A0A447U2B1, UniRef:UniRef50_A0A5Z7IP03, UniRef:UniRef90_A0A5Z7IP03
contig_4	365418	365513	+	ONMMKP_02020	3.4	5.9		SO:0001217, UniParc:UPI000169FA75, UniRef:UniRef100_A0A379UR63, UniRef:UniRef50_A0A379W8A9, UniRef:UniRef90_A0A379W8A9
contig_4	699192	699404	+	ONMMKP_03660	7.8	4.9		SO:0001217, UniRef:UniRef50_A0A133LFL2, UniRef:UniRef90_A0A133LFL2
contig_4	699370	699546	-	ONMMKP_03665	6.8	4.9		SO:0001217, UniParc:UPI0001811830, UniRef:UniRef100_A0A6C8ESK2, UniRef:UniRef50_A0A6C8ESK2, UniRef:UniRef90_A0A6C8ESK2
contig_4	705998	706411	+	ONMMKP_03715	15.1	6.4		RefSeq:WP_033905026.1, SO:0001217, UniParc:UPI00053B805B, UniRef:UniRef100_A0A5V1RHL3, UniRef:UniRef50_H3RBN9, UniRef:UniRef90_G0ZNE8
contig_4	719353	719448	-	ONMMKP_03810	3.4	4.1		SO:0001217, UniParc:UPI00016C1B1B, UniRef:UniRef100_I6S1P5, UniRef:UniRef50_I6S1P5, UniRef:UniRef90_I6S1P5
contig_4	730079	730285	+	ONMMKP_03925	7.8	8.8		RefSeq:WP_149021858.1, SO:0001217, UniParc:UPI000AF952C1, UniRef:UniRef100_A0A749UTV7, UniRef:UniRef50_A0A5V1RHL8, UniRef:UniRef90_A0A5V1RHL8
contig_4	819840	820046	+	ONMMKP_04485	8.1	9.5		RefSeq:WP_000787625.1, SO:0001217, UniParc:UPI00016A2425, UniRef:UniRef100_A0A724WHR8, UniRef:UniRef50_V7IU88, UniRef:UniRef90_A0A447JGW4
contig_4	873308	873532	-	ONMMKP_04755	8.4	4.5		RefSeq:WP_000528428.1, SO:0001217, UniParc:UPI00004F7B09, UniRef:UniRef100_A0A5I8XCN8, UniRef:UniRef50_G5NAS5, UniRef:UniRef90_G5NAS5
contig_4	984320	984460	+	ONMMKP_05350	5.3	6.0		SO:0001217, UniParc:UPI00016BE0B3, UniRef:UniRef100_A0A745HMG8, UniRef:UniRef50_A0A749FB01, UniRef:UniRef90_A0A749FB01
contig_4	1003731	1004156	+	ONMMKP_05425	15.5	6.6		RefSeq:WP_024133401.1, SO:0001217, UniParc:UPI0003EB21EA, UniRef:UniRef100_A0A5I6QCV4, UniRef:UniRef50_A0A4U1USJ6, UniRef:UniRef90_A0A4U1USJ6
