# BUSCO version is: 6.0.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Fragmented	NZ_ABEI01000033.1	22785	19597	-	1200.2	854	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Fragmented	NZ_ABEI01000040.1	3	3578	+	1033.6	689	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	NZ_ABEI01000009.1	184543	180656	-	261.6	392	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	NZ_ABEI01000005.1	3490	860	-	588.3	529	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	NZ_ABEI01000004.1	112417	114438	+	770.3	490	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	NZ_ABEI01000014.1	15795	17618	+	563.9	439	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	NZ_ABEI01000009.1	200973	199174	-	735.2	491	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	NZ_ABEI01000016.1	118395	116995	-	331.4	277	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	NZ_ABEI01000002.1	322675	320078	-	516.2	426	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	NZ_ABEI01000024.1	38352	40124	+	608.9	473	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Fragmented	NZ_ABEI01000006.1	218689	219243	+	138.2	133	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	NZ_ABEI01000001.1	396665	395148	-	273.7	284	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	NZ_ABEI01000004.1	269616	270908	+	416.2	313	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	NZ_ABEI01000008.1	179041	177539	-	177.9	211	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	NZ_ABEI01000002.1	21548	22822	+	337.4	283	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Missing
462069at2	Complete	NZ_ABEI01000030.1	13400	12237	-	180.7	220	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	NZ_ABEI01000018.1	742	1725	+	432.4	294	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	NZ_ABEI01000009.1	104718	103141	-	309.3	233	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	NZ_ABEI01000003.1	23372	24754	+	212.6	233	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	NZ_ABEI01000005.1	128796	127498	-	365.0	285	https://v10-1.orthodb.org/?query=533698at2	Enolase
