# Annotated with Bakta
# Software: v1.8.2
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	sorf	169	255	+	HFCAGB_00005	thrL	thr operon leader peptide	GO:0009088, GO:0031556, SO:0001217, UniParc:UPI0001B97032, UniRef:UniRef100_Q57TQ4, UniRef:UniRef50_Q57TQ4, UniRef:UniRef90_Q57TQ4
contig_1	ncRNA-region	191	311	+			Threonine operon leader	RFAM:RF00506, SO:0000140
contig_1	cds	337	2799	+	HFCAGB_00010	thrA	bifunctional aspartate kinase/homoserine dehydrogenase I	COG:COG0527, COG:E, EC:1.1.1.3, EC:2.7.2.4, GO:0004072, GO:0004412, GO:0005524, GO:0008652, GO:0009067, GO:0009088, GO:0009089, GO:0009090, GO:0016310, GO:0042802, GO:0050661, GO:0051289, RefSeq:WP_001264674.1, SO:0001217, UniParc:UPI00016A0383, UniRef:UniRef100_A0A3Y2QR81, UniRef:UniRef50_P00561, UniRef:UniRef90_P00561
contig_1	cds	2801	3730	+	HFCAGB_00015	thrB	homoserine kinase	COG:COG0083, COG:E, EC:2.7.1.39, GO:0004413, GO:0005524, GO:0005737, GO:0009088, GO:0016310, RefSeq:WP_000241691.1, SO:0001217, UniParc:UPI00016A0384, UniRef:UniRef100_B5FH97, UniRef:UniRef50_Q6D0A9, UniRef:UniRef90_Q8XA82
contig_1	cds	3734	5020	+	HFCAGB_00020	thrC	threonine synthase	COG:COG0498, COG:E, EC:4.2.3.1, GO:0004795, GO:0005829, GO:0009088, GO:0030170, RefSeq:WP_000781099.1, SO:0001217, UniParc:UPI00016A0385, UniRef:UniRef100_A0A3U2N0J1, UniRef:UniRef50_P00934, UniRef:UniRef90_P00934
contig_1	cds	5114	5887	-	HFCAGB_00025	yaaA	peroxide stress protein YaaA	COG:COG3022, COG:L, GO:0005829, GO:0033194, RefSeq:WP_000906175.1, SO:0001217, UniParc:UPI00000CCE01, UniRef:UniRef100_Q57TQ0, UniRef:UniRef50_P43908, UniRef:UniRef90_Q8Z9R5
contig_1	cds	5966	7396	-	HFCAGB_00030	alsT	Na+/alanine symporter	COG:COG1115, COG:E, RefSeq:WP_001113807.1, SO:0001217, UniParc:UPI00016A05B3, UniRef:UniRef100_B5F6Y1, UniRef:UniRef50_P30143, UniRef:UniRef90_A9MR83
contig_1	cds	7665	8618	+	HFCAGB_00035	tal	transaldolase B	BlastRules:WP_000130175, COG:COG0176, COG:G, EC:2.2.1.2, GO:0004801, GO:0005829, GO:0005975, GO:0006098, RefSeq:WP_000130175.1, SO:0001217, UniParc:UPI0000059968, UniRef:UniRef100_Q57TP8, UniRef:UniRef50_Q57TP8, UniRef:UniRef90_Q57TP8
contig_1	cds	8729	9319	+	HFCAGB_00040	mog	molybdopterin adenylyltransferase	EC:2.7.7.75, GO:0006777, RefSeq:WP_000380373.1, SO:0001217, UniParc:UPI00004F7806, UniRef:UniRef100_A0A1S0ZEH0, UniRef:UniRef50_P44645, UniRef:UniRef90_A0A0F5B902
contig_1	cds	9376	9942	-	HFCAGB_00045	satP	acetate uptake transporter	COG:C, COG:COG1584, GO:0016020, RefSeq:WP_000528525.1, SO:0001217, UniParc:UPI0001604820, UniRef:UniRef100_A0A1S0ZDR3, UniRef:UniRef50_S6CYC6, UniRef:UniRef90_A0A0L0AFE2
contig_1	cds	10092	10805	-	HFCAGB_00050	msyB	acidic protein MsyB	COG:COG4735, COG:S, RefSeq:WP_001103477.1, SO:0001217, UniParc:UPI000005996B, UniRef:UniRef100_A0A8E7D3S5, UniRef:UniRef50_P58316, UniRef:UniRef90_A0A4Z0NX17
contig_1	cds	10841	11245	-	HFCAGB_00055	yaaI	DUF2541 domain-containing protein	RefSeq:WP_001258084.1, SO:0001217, UniParc:UPI000169E899, UniRef:UniRef100_B5F6Y6, UniRef:UniRef50_Q8ZS14, UniRef:UniRef90_Q8ZS14
