All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    GCF_000022165.1_ASM2216v1_genomic
# contigs (>= 0 bp)         2                                
# contigs (>= 1000 bp)      2                                
# contigs (>= 5000 bp)      2                                
# contigs (>= 10000 bp)     2                                
# contigs (>= 25000 bp)     2                                
# contigs (>= 50000 bp)     2                                
Total length (>= 0 bp)      4964097                          
Total length (>= 1000 bp)   4964097                          
Total length (>= 5000 bp)   4964097                          
Total length (>= 10000 bp)  4964097                          
Total length (>= 25000 bp)  4964097                          
Total length (>= 50000 bp)  4964097                          
# contigs                   2                                
Largest contig              4870265                          
Total length                4964097                          
GC (%)                      52.21                            
N50                         4870265                          
N90                         4870265                          
auN                         4779980.2                        
L50                         1                                
L90                         1                                
# N's per 100 kbp           0.00                             
