#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	52323	52532	+	LNHIMF_00225	7.8	6.4		SO:0001217, UniParc:UPI0003E4EAFA, UniRef:UniRef100_A0A8D4Z1X2, UniRef:UniRef50_A0A3S5DPZ4, UniRef:UniRef90_E3GA15
contig_1	276619	276711	+	LNHIMF_01215	2.9	8.5		
contig_1	315841	315939	+	LNHIMF_01425	3.5	6.7		SO:0001217, UniParc:UPI000005A2BA, UniRef:UniRef100_A0A1S0ZHP2, UniRef:UniRef50_A0A447P035, UniRef:UniRef90_A0A447P035
contig_1	330837	331676	+	LNHIMF_01510	30.7	5.0		RefSeq:WP_000654209.1, SO:0001217, UniParc:UPI000169F8D1, UniRef:UniRef100_A0A5I5HAZ7, UniRef:UniRef50_A0A8F6SMK2, UniRef:UniRef90_A0A8F1CZI5
contig_1	338475	338777	-	LNHIMF_01535	11.5	9.4		
contig_1	339579	339716	-	LNHIMF_01545	5.9	9.4		SO:0001217, UniRef:UniRef50_A0A8D5IF77, UniRef:UniRef90_A0A8D5IF77
contig_1	350425	350793	-	LNHIMF_01610	14.3	10.0		
contig_1	351604	351834	+	LNHIMF_01620	8.7	6.0		RefSeq:WP_000564356.1, SO:0001217, UniParc:UPI000169F709, UniRef:UniRef100_A0A754KSA4, UniRef:UniRef50_G5RR15, UniRef:UniRef90_A0A754KSA4
contig_1	380428	381252	+	LNHIMF_01755	32.1	5.4		RefSeq:WP_001101694.1, SO:0001217, UniParc:UPI000169F535, UniRef:UniRef100_A0A3T2ZPR3, UniRef:UniRef50_A0A0F1B5M8, UniRef:UniRef90_A0A0F1B5M8
contig_1	391584	391751	-	LNHIMF_01815	6.2	9.6		SO:0001217, UniParc:UPI00076B94E1, UniRef:UniRef100_A0A447PKK5, UniRef:UniRef50_A0A447PKK5, UniRef:UniRef90_A0A447PKK5
contig_1	577771	577875	+	LNHIMF_02680	3.8	6.7		SO:0001217, UniParc:UPI0001604710, UniRef:UniRef100_A0A455S8Y3, UniRef:UniRef50_A0A379SBK8, UniRef:UniRef90_A0A379SBK8
contig_1	618737	618832	+	LNHIMF_02990	3.5	4.1		SO:0001217, UniParc:UPI000169E77B, UniRef:UniRef100_A0A977TG61, UniRef:UniRef50_I6S1P5, UniRef:UniRef90_I6S1P5
contig_1	632130	632354	-	LNHIMF_03090	8.4	6.1		SO:0001217, UniRef:UniRef50_G5Q5J3, UniRef:UniRef90_UPI001F29A452
contig_1	632422	632679	+	LNHIMF_03095	9.9	9.0		RefSeq:WP_023230837.1, SO:0001217, UniParc:UPI0003BC82C9, UniRef:UniRef100_UPI0003BC82C9, UniRef:UniRef50_A0A0J5KTZ3, UniRef:UniRef90_H6WRU5
contig_1	641747	641986	-	LNHIMF_03165	8.6	4.5		RefSeq:WP_000730009.1, SO:0001217, UniParc:UPI00016A0100, UniRef:UniRef100_A0A727IH00, UniRef:UniRef50_A0A0G3CRN0, UniRef:UniRef90_A0A627D8Q2
contig_1	651444	651665	-	LNHIMF_03215	8.6	9.9		SO:0001217, UniRef:UniRef50_A0A379V229, UniRef:UniRef90_A0A379V229
contig_1	651788	652093	+	LNHIMF_03220	11.4	4.3		RefSeq:WP_000884168.1, SO:0001217, UniParc:UPI000169FF6C, UniRef:UniRef100_A0A5V7YXI9, UniRef:UniRef50_A0A3I8G8B7, UniRef:UniRef90_A0A742P6S4
contig_1	652090	652524	+	LNHIMF_03225	16.4	5.1		RefSeq:WP_130045058.1, SO:0001217, UniParc:UPI000169FF6B, UniRef:UniRef100_A0A5X9ML79, UniRef:UniRef50_A0A759P1M6, UniRef:UniRef90_A0A759P1M6
contig_1	656563	656868	+	LNHIMF_03280	11.4	4.7		RefSeq:WP_000065153.1, SO:0001217, UniParc:UPI000169FF60, UniRef:UniRef100_A0A5X9MLT6, UniRef:UniRef50_A0A2C9NUR8, UniRef:UniRef90_A0A2C9NUR8
contig_1	656958	657341	+	LNHIMF_03285	14.2	7.8		SO:0001217, UniParc:UPI000169FF5F, UniRef:UniRef100_A0A379V323, UniRef:UniRef50_A0A2G4U2A9, UniRef:UniRef90_A0A3I8FU17
contig_1	665694	665945	+	LNHIMF_03350	9.3	5.3		RefSeq:WP_001100259.1, SO:0001217, UniParc:UPI000169FF56, UniRef:UniRef100_A0A622W6P5, UniRef:UniRef50_A0A0E1L941, UniRef:UniRef90_A0A622W6P5
contig_1	666021	666554	+	LNHIMF_03355	20.1	5.1		SO:0001217, UniParc:UPI000169FDDB, UniRef:UniRef100_A0A5X9ML01, UniRef:UniRef50_A0A5X2TU22, UniRef:UniRef90_A0A5X2TU22
contig_1	680877	681482	-	LNHIMF_03435	22.8	11.8		SO:0001217, UniRef:UniRef50_A0A455S1S3, UniRef:UniRef90_A0A455S1S3
contig_1	685637	685879	+	LNHIMF_03450	8.6	9.6		RefSeq:WP_000178849.1, SO:0001217, UniParc:UPI00004F7AB7, UniRef:UniRef100_A0A3W0RL75, UniRef:UniRef50_A0A379WV70, UniRef:UniRef90_A0A379WV70
contig_1	695225	695476	-	LNHIMF_03515	9.8	11.5		SO:0001217, UniParc:UPI000E065322, UniRef:UniRef100_A0A379UNN3, UniRef:UniRef50_A0A379UNN3, UniRef:UniRef90_A0A379UNN3
contig_1	761073	761171	+	LNHIMF_03845	3.8	5.3		SO:0001217, UniParc:UPI00065C2C17, UniRef:UniRef100_A0A379VU92, UniRef:UniRef50_A0A379VU92, UniRef:UniRef90_A0A379VU92
contig_1	822711	822860	+	LNHIMF_04170	5.7	8.7		SO:0001217, UniParc:UPI00017A9DD1, UniRef:UniRef100_A0A0F6AYJ1, UniRef:UniRef50_A0A0F6AYJ1, UniRef:UniRef90_A0A0F6AYJ1
contig_1	873725	873850	+	LNHIMF_04395	4.6	9.0		SO:0001217, UniParc:UPI000169FC8B, UniRef:UniRef100_A0A0N1QZN9, UniRef:UniRef50_A0A0N1QZN9, UniRef:UniRef90_A0A0N1QZN9
contig_1	880240	881271	+	LNHIMF_04435	36.6	9.8		
contig_1	1134490	1134603	+	LNHIMF_05605	4.5	9.2		SO:0001217, UniParc:UPI000169F912, UniRef:UniRef100_A0A2X5BFH5, UniRef:UniRef50_A0A2X5BFH5, UniRef:UniRef90_A0A2X5BFH5
contig_1	1232497	1232721	+	LNHIMF_06120	8.4	4.5		RefSeq:WP_000528427.1, SO:0001217, UniParc:UPI000169F74D, UniRef:UniRef100_A0A3V9PM15, UniRef:UniRef50_G5NAS5, UniRef:UniRef90_A0A3Y8YRC0
contig_1	1422986	1423198	+	LNHIMF_07140	7.9	8.8		SO:0001217, UniRef:UniRef50_A0A1X8WFN2, UniRef:UniRef90_A0A1X8WFN2
contig_1	1699167	1699262	-	LNHIMF_08495	3.4	5.9		SO:0001217, UniParc:UPI000169FA75, UniRef:UniRef100_A0A379UR63, UniRef:UniRef50_A0A379W8A9, UniRef:UniRef90_A0A379W8A9
contig_1	1759818	1759982	+	LNHIMF_08795	6.3	7.9		
contig_1	1787063	1787215	+	LNHIMF_08925	5.9	9.3		SO:0001217, UniParc:UPI00076B9C26, UniRef:UniRef100_A0A379V9Y6, UniRef:UniRef50_A0A5Z7IP03, UniRef:UniRef90_A0A379V9Y6
contig_1	1938663	1938785	-	LNHIMF_09685	4.6	6.7		SO:0001217, UniParc:UPI00016C138F, UniRef:UniRef100_A0A5U7IQZ6, UniRef:UniRef50_A0A3S4FSA5, UniRef:UniRef90_A0A3S4FSA5
contig_1	1939386	1939544	+	LNHIMF_09690	5.7	9.7		SO:0001217, UniParc:UPI000169F558, UniRef:UniRef100_A0A379UQZ1, UniRef:UniRef50_A0A379UQZ1, UniRef:UniRef90_A0A379UQZ1
contig_1	1989406	1989600	+	LNHIMF_09965	7.0	9.1		SO:0001217, UniRef:UniRef50_A0A3S4FJE3
contig_1	2074894	2074995	+	LNHIMF_10475	4.0	6.0		
contig_1	2127327	2127500	-	LNHIMF_10775	6.4	6.7		RefSeq:WP_000267959.1, SO:0001217, UniParc:UPI000160478C, UniRef:UniRef100_A0A0F7J925, UniRef:UniRef50_A0A0F7J925, UniRef:UniRef90_A0A0F7J925
contig_1	2509739	2509834	+	LNHIMF_12665	3.7	6.0		SO:0001217, UniParc:UPI0003D399C3, UniRef:UniRef100_A0A3S4F0K8, UniRef:UniRef50_A0A3S4H9S7, UniRef:UniRef90_A0A3S4H9S7
contig_1	2677321	2677500	+	LNHIMF_13380	6.5	10.6		SO:0001217, UniParc:UPI000408BED3, UniRef:UniRef100_A0A3T3EW42, UniRef:UniRef50_A0A379WNS0, UniRef:UniRef90_A0A379WNS0
contig_1	2798975	2800318	-	LNHIMF_13930	51.3	5.3		RefSeq:WP_000214709.1, SO:0001217, UniParc:UPI000169F571, UniRef:UniRef100_A0A5W8BNE4, UniRef:UniRef50_A0A246VX28, UniRef:UniRef90_A0A246VX28
contig_1	2800315	2800407	-	LNHIMF_13935	3.9	6.7		
contig_1	2800659	2800856	-	LNHIMF_13940	7.6	9.9		SO:0001217, UniParc:UPI000169F570, UniRef:UniRef100_A0A3V9PPR6, UniRef:UniRef50_A0A3V9PPR6, UniRef:UniRef90_A0A3V9PPR6
contig_1	2812593	2812823	+	LNHIMF_13995	8.7	9.4		RefSeq:WP_157747415.1, SO:0001217, UniParc:UPI000DA40CC7, UniRef:UniRef100_UPI000DA40CC7, UniRef:UniRef50_UPI0015F34A74, UniRef:UniRef90_UPI0015F34A74
contig_1	3000654	3000800	-	LNHIMF_14945	5.6	9.4		SO:0001217, UniParc:UPI00016BE207, UniRef:UniRef100_A0A0N1QX22, UniRef:UniRef50_A0A0N1QX22, UniRef:UniRef90_A0A0N1QX22
contig_1	3110352	3110543	-	LNHIMF_15475	6.6	4.1		SO:0001217, UniParc:UPI0005D7A2F8, UniRef:UniRef100_A0A5I5VA67, UniRef:UniRef50_A0A3S4JYK6, UniRef:UniRef90_A0A418ZC25
contig_1	3367592	3367693	-	LNHIMF_16750	3.7	6.5		SO:0001217, UniParc:UPI000169FC40, UniRef:UniRef100_A0A6C8GI00, UniRef:UniRef50_G5R666, UniRef:UniRef90_G5R666
contig_1	3387119	3387223	-	LNHIMF_16880	3.9	9.5		SO:0001217, UniParc:UPI0003E54430, UniRef:UniRef100_A0A447JBR0, UniRef:UniRef50_A0A447JBR0, UniRef:UniRef90_A0A447JBR0
contig_1	3482920	3483300	+	LNHIMF_17355	14.0	7.6		SO:0001217, UniParc:UPI0001603CD5, UniRef:UniRef100_A0A8D4YQT8, UniRef:UniRef50_A0A0H2VCZ3, UniRef:UniRef90_A0A0H2VCZ3
contig_1	3806101	3806526	+	LNHIMF_18905	16.1	8.4		RefSeq:WP_000914671.1, SO:0001217, UniParc:UPI00015BAA56, UniRef:UniRef100_A0A8F6P2Q8, UniRef:UniRef50_A0A068R8I9, UniRef:UniRef90_A0A068R8I9
contig_1	3811188	3811790	-	LNHIMF_18940	23.4	6.9		RefSeq:WP_001185418.1, SO:0001217, UniParc:UPI000169FA85, UniRef:UniRef100_A0A3U4EF09, UniRef:UniRef50_A7MQB8, UniRef:UniRef90_A7MQB8
contig_1	3860939	3861100	-	LNHIMF_19160	6.0	6.7		RefSeq:WP_000343619.1, SO:0001217, UniParc:UPI000169F532, UniRef:UniRef100_A0A736GZV6, UniRef:UniRef50_A0A4Q1J8X5, UniRef:UniRef90_A0A5U0MSY3
contig_1	3915409	3915603	+	LNHIMF_19435	7.5	9.9		SO:0001217, UniRef:UniRef50_A0A0F7JEJ5, UniRef:UniRef90_A0A0F7JEJ5
contig_1	3992238	3992612	-	LNHIMF_19790	14.3	6.1		RefSeq:WP_000937043.1, SO:0001217, UniParc:UPI000169E939, UniRef:UniRef100_A0A718Y4N5, UniRef:UniRef50_A0A5Y6ERN7, UniRef:UniRef90_A0A5Y6ERN7
contig_1	4199274	4199396	+	LNHIMF_20830	4.7	8.8		SO:0001217, UniRef:UniRef50_A0A3S4GRD1, UniRef:UniRef90_A0A3S4GRD1
contig_1	4316761	4317063	-	LNHIMF_21385	11.5	7.8		RefSeq:WP_000850456.1, SO:0001217, UniParc:UPI000169EE74, UniRef:UniRef100_A0A749RKS6, UniRef:UniRef50_A0A2I8SBH0, UniRef:UniRef90_A0A6D2GB82
contig_1	4462594	4462692	+	LNHIMF_22085	3.4	8.3		SO:0001217, UniRef:UniRef50_A0A2X5BUJ5, UniRef:UniRef90_A0A2X5BUJ5
contig_1	4463853	4463999	+	LNHIMF_22100	5.3	5.9		RefSeq:WP_001112365.1, SO:0001217, UniParc:UPI000169FE2C, UniRef:UniRef100_H9AC98, UniRef:UniRef50_H9AC98, UniRef:UniRef90_H9AC98
contig_1	4514869	4515105	+	LNHIMF_22350	8.9	7.8		SO:0001217, UniParc:UPI00016BE4F6, UniRef:UniRef100_A0A760WU58, UniRef:UniRef50_A0A763MNK1, UniRef:UniRef90_A0A763MNK1
contig_1	4616888	4616995	-	LNHIMF_22860	4.1	9.7		SO:0001217, UniParc:UPI0005D84673, UniRef:UniRef100_A0A455RY24, UniRef:UniRef50_A0A376VJM4, UniRef:UniRef90_A0A379QRN7
contig_1	4695277	4695384	+	LNHIMF_23260	4.2	5.4		SO:0001217, UniParc:UPI0003E45E31, UniRef:UniRef100_A0A8D4XY29, UniRef:UniRef50_A0A2X4TXI3, UniRef:UniRef90_A0A2X5BPJ9
contig_2	14315	14464	-	LNHIMF_23400	5.9	6.9		RefSeq:WP_000550473.1, SO:0001217, UniParc:UPI000169FB05, UniRef:UniRef100_E5L767, UniRef:UniRef50_E5L767, UniRef:UniRef90_E5L767
contig_2	45214	45330	+	LNHIMF_23545	4.5	7.8		SO:0001217, UniParc:UPI000169F59F, UniRef:UniRef100_A0A1M0C0S0, UniRef:UniRef50_A0A0F7JFB2, UniRef:UniRef90_A0A0F7JFB2
contig_2	80240	80731	+	LNHIMF_23775	17.3	11.9		SO:0001217, UniParc:UPI000049F152, UniRef:UniRef100_C4NUT5, UniRef:UniRef50_C4NUT5, UniRef:UniRef90_C4NUT5
contig_2	88617	88832	+	LNHIMF_23825	7.7	5.6		RefSeq:WP_001112907.1, SO:0001217, UniParc:UPI000169F3EA, UniRef:UniRef100_A0A2X9AC13, UniRef:UniRef50_A0A2X9AC13, UniRef:UniRef90_A0A2X9AC13
contig_2	99474	99809	+	LNHIMF_23895	12.6	4.4		RefSeq:WP_000610141.1, SO:0001217, UniParc:UPI000169F595, UniRef:UniRef100_A0A2X9GUZ5, UniRef:UniRef50_A0A2X9GUZ5, UniRef:UniRef90_A0A2X9GUZ5
contig_3	1983	2306	-	LNHIMF_23950	11.9	8.2		RefSeq:WP_000152444.1, SO:0001217, UniParc:UPI000169FB10, UniRef:UniRef100_A0A732EMV9, UniRef:UniRef50_A0A732EMV9, UniRef:UniRef90_A0A732EMV9
