# Annotated with Bakta
# Software: v1.8.2
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	sorf	169	255	+	LNHIMF_00005	thrL	thr operon leader peptide	GO:0009088, GO:0031556, SO:0001217, UniParc:UPI0001B97032, UniRef:UniRef100_Q57TQ4, UniRef:UniRef50_Q57TQ4, UniRef:UniRef90_Q57TQ4
contig_1	ncRNA-region	191	311	+			Threonine operon leader	RFAM:RF00506, SO:0000140
contig_1	cds	337	2799	+	LNHIMF_00010	thrA	bifunctional aspartate kinase/homoserine dehydrogenase I	COG:COG0527, COG:E, EC:1.1.1.3, EC:2.7.2.4, GO:0004072, GO:0004412, GO:0005524, GO:0008652, GO:0009067, GO:0009088, GO:0009089, GO:0009090, GO:0016310, GO:0042802, GO:0050661, GO:0051289, RefSeq:WP_001264672.1, SO:0001217, UniParc:UPI000169EC88, UniRef:UniRef100_A0A722S1S0, UniRef:UniRef50_P00561, UniRef:UniRef90_P00561
contig_1	cds	2801	3730	+	LNHIMF_00015	thrB	homoserine kinase	COG:COG0083, COG:E, EC:2.7.1.39, GO:0004413, GO:0005524, GO:0005737, GO:0009088, GO:0016310, RefSeq:WP_000241685.1, SO:0001217, UniParc:UPI0000059964, UniRef:UniRef100_B5F6C2, UniRef:UniRef50_Q6D0A9, UniRef:UniRef90_Q8XA82
contig_1	cds	3734	5020	+	LNHIMF_00020	thrC	threonine synthase	COG:COG0498, COG:E, EC:4.2.3.1, GO:0004795, GO:0005829, GO:0009088, GO:0030170, RefSeq:WP_000781105.1, SO:0001217, UniParc:UPI00000CCE00, UniRef:UniRef100_A0A5I0NV49, UniRef:UniRef50_P00934, UniRef:UniRef90_P00934
contig_1	cds	5114	5887	-	LNHIMF_00025	yaaA	peroxide stress protein YaaA	COG:COG3022, COG:L, GO:0005829, GO:0033194, RefSeq:WP_000906174.1, SO:0001217, UniParc:UPI000169EAF5, UniRef:UniRef100_B4TVY7, UniRef:UniRef50_P43908, UniRef:UniRef90_Q8Z9R5
contig_1	cds	5966	7396	-	LNHIMF_00030	alsT	Na+/alanine symporter	COG:COG1115, COG:E, RefSeq:WP_001113804.1, SO:0001217, UniParc:UPI000169EAF4, UniRef:UniRef100_A0A0N1TUY4, UniRef:UniRef50_P30143, UniRef:UniRef90_A9MR83
contig_1	cds	7665	8618	+	LNHIMF_00035	tal	transaldolase B	BlastRules:WP_000130175, COG:COG0176, COG:G, EC:2.2.1.2, GO:0004801, GO:0006098, RefSeq:WP_000130179.1, SO:0001217, UniParc:UPI000169EAF3, UniRef:UniRef100_A0A3V6Q5U9, UniRef:UniRef50_Q8FLD1, UniRef:UniRef90_A0A0W8AVX8
contig_1	cds	8729	9319	+	LNHIMF_00040	mog	molybdopterin adenylyltransferase	EC:2.7.7.75, GO:0006777, RefSeq:WP_000380373.1, SO:0001217, UniParc:UPI00004F7806, UniRef:UniRef100_A0A1S0ZEH0, UniRef:UniRef50_P44645, UniRef:UniRef90_A0A0F5B902
contig_1	cds	9376	9942	-	LNHIMF_00045	satP	acetate uptake transporter	COG:C, COG:COG1584, GO:0016020, RefSeq:WP_000528525.1, SO:0001217, UniParc:UPI0001604820, UniRef:UniRef100_A0A1S0ZDR3, UniRef:UniRef50_S6CYC6, UniRef:UniRef90_A0A0L0AFE2
contig_1	cds	10092	10805	-	LNHIMF_00050	msyB	acidic protein MsyB	COG:COG4735, COG:S, RefSeq:WP_001103472.1, SO:0001217, UniParc:UPI000169EAF2, UniRef:UniRef100_A0A3V6Q662, UniRef:UniRef50_P58316, UniRef:UniRef90_A0A4Z0NX17
contig_1	cds	10841	11245	-	LNHIMF_00055	yaaI	DUF2541 domain-containing protein	RefSeq:WP_001258082.1, SO:0001217, UniParc:UPI000169EAF1, UniRef:UniRef100_A0A5I6ZDH1, UniRef:UniRef50_Q8ZS14, UniRef:UniRef90_Q8ZS14
contig_1	cds	11594	13510	+	LNHIMF_00060	dnaK	molecular chaperone DnaK	COG:COG0443, COG:O, GO:0005524, GO:0006457, GO:0016887, GO:0051082, GO:0140662, RefSeq:WP_000516126.1, SO:0001217, UniParc:UPI000005996D, UniRef:UniRef100_B5F6Y8, UniRef:UniRef50_Q5ZTY3, UniRef:UniRef90_A8ALU3
contig_1	ncRNA	13521	13595	+	LNHIMF_00065	tpke11	tpke11	RFAM:RF02031, SO:0000655
contig_1	cds	13596	14735	+	LNHIMF_00070	dnaJ	molecular chaperone DnaJ	COG:COG0484, COG:O, EC:1.8.4.-, GO:0005515, GO:0005524, GO:0005737, GO:0006260, GO:0006457, GO:0008270, GO:0009408, GO:0031072, GO:0051082, RefSeq:WP_001119009.1, SO:0001217, UniParc:UPI000005996E, UniRef:UniRef100_B5F6Y9, UniRef:UniRef50_Q0K758, UniRef:UniRef90_Q7UDU1
contig_1	cds	15016	15963	+	LNHIMF_00075	lysR	DNA-binding transcriptional regulator, LysR family	COG:COG0583, COG:K, RefSeq:WP_000534916.1, SO:0001217, UniParc:UPI000169EAEE, UniRef:UniRef100_A0A5H8IFA1, UniRef:UniRef50_A0A7H4N821, UniRef:UniRef90_A0A6C8WAW6
contig_1	cds	16090	16434	+	LNHIMF_00080		Bacteriophage protein	RefSeq:WP_000026889.1, SO:0001217, UniParc:UPI00000CCE06, UniRef:UniRef100_A0A5J0RTH7, UniRef:UniRef50_V5U4V2, UniRef:UniRef90_A0A2T8TH88
contig_1	cds	16495	17028	-	LNHIMF_00085	zliS	Lysozyme family protein	COG:COG3926, COG:R, RefSeq:WP_001068134.1, SO:0001217, UniParc:UPI000169EAED, UniRef:UniRef100_A0A5I6WWD3, UniRef:UniRef50_A0A2A7T3Q4, UniRef:UniRef90_A0A3V8HY04
contig_1	cds	17045	17488	-	LNHIMF_00090	cadC1	DNA-binding winged helix-turn-helix (wHTH) domain	COG:COG3710, COG:K, RefSeq:WP_000860681.1, SO:0001217, UniParc:UPI0000059972, UniRef:UniRef100_A0A1S0ZFE9, UniRef:UniRef50_A0A1D8JNT5, UniRef:UniRef90_A0A2I5HLJ8
contig_1	cds	17869	19968	+	LNHIMF_00095		Chitodextrinase	COG:COG3979, COG:G, RefSeq:WP_000235811.1, SO:0001217, UniParc:UPI000169EAEB, UniRef:UniRef100_A0A5X7WHL5, UniRef:UniRef50_A0A2I5HL07, UniRef:UniRef90_A0A2I5HL07
contig_1	cds	20061	23057	+	LNHIMF_00100		Chitinase	RefSeq:WP_000155788.1, SO:0001217, UniParc:UPI000169EAEA, UniRef:UniRef100_A0A8F6RUK9, UniRef:UniRef50_A0A379QNJ4, UniRef:UniRef90_A0A379NNA8
contig_1	cds	23346	24041	+	LNHIMF_00105		Putative cytoplasmic protein	RefSeq:WP_000980522.1, SO:0001217, UniParc:UPI0001812CA0, UniRef:UniRef100_A0A3Y7R185, UniRef:UniRef50_E3G2G5, UniRef:UniRef90_A0A379QB87
contig_1	cds	24472	25014	+	LNHIMF_00110	bcfA	fimbrial protein BcfA	COG:COG3539, COG:N, RefSeq:WP_000743357.1, SO:0001217, UniParc:UPI00000D010D, UniRef:UniRef100_A0A8E6Y0Y7, UniRef:UniRef50_A0A0K0H6W9, UniRef:UniRef90_A0A0K0H6W9
contig_1	cds	25116	25802	+	LNHIMF_00115	bcfB	fimbrial biogenesis chaperone BcfB	BlastRules:WP_000742551, COG:COG3121, COG:W, RefSeq:WP_000742551.1, SO:0001217, UniParc:UPI00000D01C5, UniRef:UniRef100_B5F700, UniRef:UniRef50_A0A085GCH0, UniRef:UniRef90_A0A2I5HKQ0
contig_1	cds	25807	28428	+	LNHIMF_00120	bcfC	fimbrial usher BcfC	BlastRules:WP_001245864, COG:COG3188, COG:NW, GO:0005515, GO:0009297, GO:0015473, GO:0016020, RefSeq:WP_001245844.1, SO:0001217, UniParc:UPI000169E90B, UniRef:UniRef100_A0A0N1QS39, UniRef:UniRef50_A0A401AVP4, UniRef:UniRef90_A0A3E1XKU4
contig_1	cds	28429	29436	+	LNHIMF_00125	bcfD	fimbrial protein BcfD	COG:COG3539, COG:N, KEGG:K07356, RefSeq:WP_000701257.1, SO:0001217, UniParc:UPI000169E90A, UniRef:UniRef100_A0A8F6NZW6, UniRef:UniRef50_A0A0H2VKK2, UniRef:UniRef90_A0A0H2VKK2
contig_1	cds	29437	29982	+	LNHIMF_00130	bcfE	fimbrial protein BcfE	COG:COG3539, COG:N, RefSeq:WP_001082038.1, SO:0001217, UniParc:UPI00004F7811, UniRef:UniRef100_A0A1S0ZDZ5, UniRef:UniRef50_A0A0K0H706, UniRef:UniRef90_A0A0K0H706
contig_1	cds	29998	30516	+	LNHIMF_00135	bcfF	fimbrial protein BcfF	RefSeq:WP_001243228.1, SO:0001217, UniParc:UPI000169E909, UniRef:UniRef100_A0A5I8FVH2, UniRef:UniRef50_A0A379V193, UniRef:UniRef90_A0A379V193
contig_1	cds	30482	31213	+	LNHIMF_00140	bcfG	fimbrial chaperone BcfG	BlastRules:WP_001135039, COG:COG3121, COG:W, RefSeq:WP_001135036.1, SO:0001217, UniParc:UPI00098D68A0, UniRef:UniRef100_A0A0N1TV14, UniRef:UniRef50_A0A0K0H708, UniRef:UniRef90_A0A0T9XIA4
contig_1	cds	31278	32123	+	LNHIMF_00145	dsbC	Protein thiol-disulfide isomerase DsbC	COG:COG1651, COG:O, RefSeq:WP_000291395.1, SO:0001217, UniParc:UPI000169E907, UniRef:UniRef100_A0A8F6P0C9, UniRef:UniRef50_A0A0L0AH89, UniRef:UniRef90_A0A3F3IC95
contig_1	cds	32162	32449	+	LNHIMF_00150		Type 1 fimbrial protein	RefSeq:WP_000839834.1, SO:0001217, UniParc:UPI000169E906, UniRef:UniRef100_A0A5I1XTI8, UniRef:UniRef50_A0A764GR16, UniRef:UniRef90_A0A5Z7C9Z5
contig_1	cds	32549	32998	-	LNHIMF_00155	cadC1	DNA-binding winged helix-turn-helix (wHTH) domain	COG:COG3710, COG:K, RefSeq:WP_001250357.1, SO:0001217, UniParc:UPI000169E905, UniRef:UniRef100_A0A8F6P2M1, UniRef:UniRef50_A0A248KCR1, UniRef:UniRef90_A0A344R622
contig_1	cds	33368	34372	+	LNHIMF_00160	lysR	DNA-binding transcriptional regulator, LysR family	COG:COG0583, COG:K, RefSeq:WP_001247389.1, SO:0001217, UniParc:UPI000169E904, UniRef:UniRef100_A0A3V6Q6A4, UniRef:UniRef50_A0A3S4G661, UniRef:UniRef90_A0A379QTF4
contig_1	cds	34380	34817	-	LNHIMF_00165	cadC1	DNA-binding winged helix-turn-helix (wHTH) domain	COG:COG3710, COG:K, RefSeq:WP_000158342.1, SO:0001217, UniParc:UPI000169E903, UniRef:UniRef100_A0A8F6RS80, UniRef:UniRef50_A0A344R620, UniRef:UniRef90_A0A344R620
contig_1	cds	35340	37058	+	LNHIMF_00170		Arylsulfatase	RefSeq:WP_001036504.1, SO:0001217, UniParc:UPI000169E902, UniRef:UniRef100_A0A5I8FS50, UniRef:UniRef50_A9MR51, UniRef:UniRef90_A0A2T8TH94
