Assembly	GCF_000171315.1_ASM17131v1_genomic
# contigs (>= 0 bp)	48
# contigs (>= 1000 bp)	46
# contigs (>= 5000 bp)	36
# contigs (>= 10000 bp)	34
# contigs (>= 25000 bp)	25
# contigs (>= 50000 bp)	17
Total length (>= 0 bp)	4728232
Total length (>= 1000 bp)	4727026
Total length (>= 5000 bp)	4702043
Total length (>= 10000 bp)	4687069
Total length (>= 25000 bp)	4527252
Total length (>= 50000 bp)	4220950
# contigs	48
Largest contig	765595
Total length	4728232
GC (%)	52.12
N50	308442
N90	49961
auN	369660.9
L50	5
L90	18
# N's per 100 kbp	0.00
