Assembly	GCF_000007545.1_ASM754v1_genomic
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	4791961
Total length (>= 1000 bp)	4791961
Total length (>= 5000 bp)	4791961
Total length (>= 10000 bp)	4791961
Total length (>= 25000 bp)	4791961
Total length (>= 50000 bp)	4791961
# contigs	1
Largest contig	4791961
Total length	4791961
GC (%)	52.05
N50	4791961
N90	4791961
auN	4791961.0
L50	1
L90	1
# N's per 100 kbp	0.23
