#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011205.1:2854313-2856112|- -            600 182107at2            -            492  6.7e-222  735.2   6.4   1   1  1.8e-222  7.7e-220  728.5   6.4     1   491     4   594     4   595 0.89 NC_011205.1_2744 # 2854313 # 2856112 # -1 # ID=1_2744;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.528
NC_011205.1:4244335-4246158|+ -            608 182107at2            -            492   2.8e-44  149.4   3.4   1   2   1.3e-41   5.6e-39  131.9   1.9     1   232     5   279     5   287 0.76 NC_011205.1_4049 # 4244335 # 4246158 # 1 # ID=1_4049;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NC_011205.1:4244335-4246158|+ -            608 182107at2            -            492   2.8e-44  149.4   3.4   2   2   1.4e-06   0.00059   16.4   0.0   261   350   341   424   312   430 0.80 NC_011205.1_4049 # 4244335 # 4246158 # 1 # ID=1_4049;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NC_011205.1:3640357-3642471|- -            705 182107at2            -            492   8.8e-33  111.5   0.1   1   4   4.8e-24     2e-21   74.0   0.0     2   134    11   168    10   201 0.79 NC_011205.1_3511 # 3640357 # 3642471 # -1 # ID=1_3511;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NC_011205.1:3640357-3642471|- -            705 182107at2            -            492   8.8e-33  111.5   0.1   2   4     0.049        21    1.4   0.0   118   160   246   291   239   305 0.76 NC_011205.1_3511 # 3640357 # 3642471 # -1 # ID=1_3511;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NC_011205.1:3640357-3642471|- -            705 182107at2            -            492   8.8e-33  111.5   0.1   3   4   2.1e-09   9.1e-07   25.7   0.0   157   314   312   491   295   504 0.69 NC_011205.1_3511 # 3640357 # 3642471 # -1 # ID=1_3511;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NC_011205.1:3640357-3642471|- -            705 182107at2            -            492   8.8e-33  111.5   0.1   4   4     0.026        11    2.3   0.0   322   351   612   641   601   691 0.71 NC_011205.1_3511 # 3640357 # 3642471 # -1 # ID=1_3511;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NC_011205.1:3494737-3497415|- -            893 182107at2            -            492   5.5e-26   89.0   0.6   1   2   2.5e-28   1.1e-25   88.1   0.2     5   194   397   599   395   614 0.81 NC_011205.1_3354 # 3494737 # 3497415 # -1 # ID=1_3354;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.554
NC_011205.1:3494737-3497415|- -            893 182107at2            -            492   5.5e-26   89.0   0.6   2   2       1.3   5.6e+02   -3.3   0.0   175   201   811   837   776   840 0.77 NC_011205.1_3354 # 3494737 # 3497415 # -1 # ID=1_3354;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.554
NC_011205.1:4803416-4805005|+ -            530 182107at2            -            492   1.6e-23   80.9   0.5   1   2   3.6e-21   1.5e-18   64.5   0.0     2   128    14   162    13   171 0.82 NC_011205.1_4557 # 4803416 # 4805005 # 1 # ID=1_4557;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.544
NC_011205.1:4803416-4805005|+ -            530 182107at2            -            492   1.6e-23   80.9   0.5   2   2   6.9e-05     0.029   10.8   0.1   220   312   372   469   202   483 0.70 NC_011205.1_4557 # 4803416 # 4805005 # 1 # ID=1_4557;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.544
