#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011205.1:4612399-4612860|+ -            154 1827295at2           -             74   8.9e-25   84.5   0.8   1   1   1.8e-26   4.2e-24   82.4   0.8     6    74    17   111    12   111 0.82 NC_011205.1_4358 # 4612399 # 4612860 # 1 # ID=1_4358;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.530
NC_011205.1:1130484-1132391|+ -            636 1827295at2           -             74   0.00027   18.9   0.1   1   2    0.0052       1.2    7.2   0.0     9    31    30    52    19    56 0.79 NC_011205.1_1065 # 1130484 # 1132391 # 1 # ID=1_1065;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.533
NC_011205.1:1130484-1132391|+ -            636 1827295at2           -             74   0.00027   18.9   0.1   2   2    0.0015      0.34    8.9   0.1     8    33   344   370   332   374 0.81 NC_011205.1_1065 # 1130484 # 1132391 # 1 # ID=1_1065;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.533
NC_011205.1:4775824-4776780|- -            319 1827295at2           -             74   0.00051   18.0   0.1   1   2     6e-06    0.0014   16.6   0.1    10    31     6    27     2    34 0.88 NC_011205.1_4530 # 4775824 # 4776780 # -1 # ID=1_4530;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.556
NC_011205.1:4775824-4776780|- -            319 1827295at2           -             74   0.00051   18.0   0.1   2   2       6.8   1.6e+03   -2.8   0.0    27    45   171   187   145   200 0.67 NC_011205.1_4530 # 4775824 # 4776780 # -1 # ID=1_4530;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.556
NC_011205.1:311984-314623|+   -            880 1827295at2           -             74   0.00066   17.7   0.1   1   2    0.0028      0.65    8.0   0.0    12    32   236   257   223   263 0.83 NC_011205.1_268 # 311984 # 314623 # 1 # ID=1_268;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.595
NC_011205.1:311984-314623|+   -            880 1827295at2           -             74   0.00066   17.7   0.1   2   2    0.0066       1.5    6.9   0.0     8    32   606   635   595   641 0.78 NC_011205.1_268 # 311984 # 314623 # 1 # ID=1_268;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.595
NC_011205.1:3682166-3682687|- -            174 1827295at2           -             74   0.00075   17.5   0.0   1   1   6.7e-06    0.0016   16.4   0.0    10    33     6    29     1    33 0.88 NC_011205.1_3551 # 3682166 # 3682687 # -1 # ID=1_3551;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.502
NC_011205.1:2881064-2883637|- -            858 1827295at2           -             74    0.0016   16.4   0.0   1   2     0.006       1.4    7.0   0.0    12    36   203   228   189   230 0.82 NC_011205.1_2766 # 2881064 # 2883637 # -1 # ID=1_2766;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.533
NC_011205.1:2881064-2883637|- -            858 1827295at2           -             74    0.0016   16.4   0.0   2   2    0.0093       2.2    6.4   0.0    11    30   601   620   586   625 0.87 NC_011205.1_2766 # 2881064 # 2883637 # -1 # ID=1_2766;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.533
NC_011205.1:1044967-1045650|+ -            228 1827295at2           -             74    0.0025   15.8   0.1   1   1     2e-05    0.0046   14.9   0.1     9    35     6    32     1    54 0.87 NC_011205.1_979 # 1044967 # 1045650 # 1 # ID=1_979;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.554
